Name,Strasse,Strasse_no_space,PlZ,Ort,Tel,E-Mail,Webseite
Muller Machines SA,Industriestrasse 22,Industriestrasse22,2555,Brügg BE,032 373 34 44,sales@mullermachines.ch,http://www.mullermachines.ch
Precisteel GmbH,Moosweg 1,Moosweg1,2555,Brügg BE,032 373 26 12,,http://www.precisteel.ch
Restaurant Bahnhof,Bahnhofstrasse 3,Bahnhofstrasse3,2555,Brügg BE,032 373 11 37,,https://www.restaurant-bahnhof-bruegg.ch
Secustore GmbH,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,* 032 325 75 75,,http://www.secustore.ch
Hunziker Affolter AG,Wasserstrasse 8,Wasserstrasse8,2555,Brügg BE,032 497 07 77,roger.stirnemann@hunzikeraffolter.ch,http://www.hunzikeraffolter.ch
Betreutes Wohnen zum Sodbrunnen GmbH,Orpundstrasse 22,Orpundstrasse22,2555,Brügg BE,* 032 373 27 01,wohnen@sodbrunnen.ch,http://www.sodbrunnen.ch
Bettenwelt,Industriestrasse 37C,Industriestrasse37C,2555,Brügg BE,032 322 06 26,info@bettenwelt.ch,http://www.bettenwelt.ch
Holivet SA,Industriestrasse 37c,Industriestrasse37c,2555,Brügg BE,* 032 341 65 65,,http://www.holivet.ch
Hotel Restaurant Jura,Orpundstrasse 1,Orpundstrasse1,2555,Brügg BE,* 032 374 41 50,,http://www.jura-bruegg.ch
Luder Technik AG,Erlenstrasse 46,Erlenstrasse46,2555,Brügg BE,* 032 374 20 20,info@plastics.ch,http://www.plastics.ch
Notariat Horst,Bielstrasse 3,Bielstrasse3,2555,Brügg BE,* 032 373 18 24,info@notariat-horst.ch,http://www.notariat-horst.ch
Dönni René,Obergasse 4,Obergasse4,2555,Brügg BE,* 079 354 89 43,,
Elis Cleanroom (Suisse) SA,Erlenstrasse 23,Erlenstrasse23,2555,Brügg BE,032 374 35 85,ch.bruegg@elis.com,http://www.elis.com
Geiser Von Aesch Bestattungen,Obergasse 16H,Obergasse16H,2555,Brügg BE,032 373 13 74,,https://geiser-bestattungen.ch
La Montre Hermès S.A.,Erlenstrasse 31A,Erlenstrasse31A,2555,Brügg BE,* 032 545 04 00,info.LMH@hermes.com,http://www.hermes.com
Lastec AG,Mattenstrasse 6,Mattenstrasse6,2555,Brügg BE,* 032 374 41 41,info@lastec.ch,http://www.lastec.ch
Chinesische Medizin Ru GmbH,Bielstrasse 3,Bielstrasse3,2555,Brügg BE,* 032 372 70 70,,http://www.chin-med-ru.ch
Geiser Samuel,Obergasse 16H,Obergasse16H,2555,Brügg BE,032 373 13 74,,http://www.geiser-bestattungen.ch
TOI TOI AG,Bielstrasse 26,Bielstrasse26,2555,Brügg BE,0800 86 40 00,info@toitoi.ch,http://www.toitoi.ch
Coiffure D-Design,Neubrückstrasse 40,Neubrückstrasse40,2555,Brügg BE,032 525 88 09,info@coiffure-d-design.ch,
Eisbis Malerei,Wasserstrasse 1,Wasserstrasse1,2555,Brügg BE,032 331 12 31,eisbismalerei@bluewin.ch,
Emil Frey Biel,Römerstrasse 11,Römerstrasse11,2555,Brügg BE,032 374 33 33,biel@emilfrey.ch,
ESD Treuhand,Industriestrasse 37c,Industriestrasse37c,2555,Brügg BE,032 373 20 30,info@ehling.ch,
Leiser Richard,Obergasse 6,Obergasse6,2555,Brügg BE,032 373 43 46,leiser_malergeschaeft@sunrise.ch,
Qualitech AG,Industriestrasse 37,Industriestrasse37,2555,Brügg BE,062 889 69 69,qualitech@qualitech.ch,
Raada GmbH,Wasserstrasse 2,Wasserstrasse2,2555,Brügg BE,032 373 18 78,info@raada.ch,
Eddie's Cafe-Bar AG,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 032 372 75 44,eduardw@bluewin.ch,
Anapol Gerätetechnik AG,Moosweg 1,Moosweg1,2555,Brügg BE,032 374 25 45,sales@anapol.ch,
ATCT,Mettgasse 6a,Mettgasse6a,2555,Brügg BE,032 373 71 01,,
Audizia AG,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,* 032 505 32 00,,
Auto-Service Patrick Hänni AG,Erlenstrasse 50A,Erlenstrasse50A,2555,Brügg BE,* 032 331 77 27,,
Berom SA,Portstrasse 44b,Portstrasse44b,2555,Brügg BE,032 361 10 48,info@berom.ch,
Brennstein & Zägg wäg,Rainstrasse 12,Rainstrasse12,2555,Brügg BE,* 032 510 33 68,bbb@brennstein.ch,
Bureau central du contrôle des métaux précieux,Industriestrasse 37,Industriestrasse37,2555,Brügg BE,* 058 462 66 22,,
Coiffure Cathy,Bielstrasse 30,Bielstrasse30,2555,Brügg BE,032 373 14 83,,
DigiFee Informatik,Bielstrasse 13,Bielstrasse13,2555,Brügg BE,* 032 372 12 12,,
Dorfapotheke Brügg AG,Bielstrasse 12,Bielstrasse12,2555,Brügg BE,* 032 373 14 60,dorfapo.bruegg@ovan.ch,
Faltsysteme Meier Marcel Expo AG,Erlenstrasse 48,Erlenstrasse48,2555,Brügg BE,* 032 365 30 36,info@meierexpo.ch,
Flückiger Bauprojekt Partner,Rainpark 17,Rainpark17,2555,Brügg BE,* 032 372 72 80,flueckiger@bauprojekt-partner.ch,http://www.bauprojekt-partner.ch
Fuhrer Engineering AG,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,* 032 342 74 42,info@fuhrer.com,
Garage Walkensteiner GmbH,Bielstrasse 14,Bielstrasse14,2555,Brügg BE,032 373 28 94,,
Geiger SA,Portstrasse 37,Portstrasse37,2555,Brügg BE,* 032 342 23 33,,
Hand4you.ch,Neubrückstrasse 11,Neubrückstrasse11,2555,Brügg BE,* 032 351 47 47,,http://hand4you.ch
Hans Zbinden AG,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,032 373 43 11,,
Hirschi AG,Portstrasse 37,Portstrasse37,2555,Brügg BE,* 032 366 60 50,info@hirschi.com,
Im Fahr,Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,* 032 374 75 10,,
IMD AG,Industriestrasse 37A,Industriestrasse37A,2555,Brügg BE,032 366 80 66,imd@imdvista.ch,
Institut für Physiotherapieforschung,Sonnhalde 2,Sonnhalde2,2555,Brügg BE,* 076 437 36 95,ipforschung@sunrise.ch,
IPH-SPITEX-TATLI,Bielstrasse 9,Bielstrasse9,2555,Brügg BE,* 076 524 07 29,,
K. Wyss Transport AG,Wasserstrasse 4,Wasserstrasse4,2555,Brügg BE,032 366 60 80,,
Kaeslin Jacqueline,Kanalweg 4,Kanalweg4,2555,Brügg BE,* 079 544 55 21,,
Keramikatelier H & S,Obergasse 7,Obergasse7,2555,Brügg BE,032 373 48 28,,
Ladenbau Meier Marcel Expo AG,Erlenstrasse 48,Erlenstrasse48,2555,Brügg BE,* 032 365 30 36,info@meierexpo.ch,
Meier Marcel Expo AG,Erlenstrasse 48,Erlenstrasse48,2555,Brügg BE,* 032 365 30 33,info@meierexpo.ch,
Meier Marcel Expo AG,Erlenstrasse 48,Erlenstrasse48,2555,Brügg BE,* 032 365 30 36,,
Mennoniten Gemeinde Brügg,Poststrasse 3,Poststrasse3,2555,Brügg BE,* 032 373 45 55,,
Möschler Zweiräder,Hauptstrasse 18,Hauptstrasse18,2555,Brügg BE,* 032 373 11 71,,
Pendolino Blumen GmbH,Bahnhofstrasse 1,Bahnhofstrasse1,2555,Brügg BE,032 373 70 50,,http://www.pendolinoblumen.ch
Persag AG,Erlenstrasse 44,Erlenstrasse44,2555,Brügg BE,032 323 22 73,info@persag.ch,
Peter Rolf,Erlenstrasse 15,Erlenstrasse15,2555,Brügg BE,* 032 373 71 91,,
Polizeiwache Brügg,Hauptstrasse 16,Hauptstrasse16,2555,Brügg BE,031 638 88 10,,
Praxis für Alternativmedizin Wyss Esther Maria,Mettgasse 2,Mettgasse2,2555,Brügg BE,* 079 215 90 12,esther.wyss@live.de,
Praxis für Ergotherapie Kaeslin Jacqueline (-Stöckli),Kanalweg 4,Kanalweg4,2555,Brügg BE,* 079 544 55 21,,
Restaurant Pizzeria Al Ponte,Bielstrasse 14,Bielstrasse14,2555,Brügg BE,* 032 372 14 14,,
Rockinger-Anhängerkupplungen,Portstrasse 37,Portstrasse37,2555,Brügg BE,* 032 366 60 50,info@hirschi.com,
Rösli Heidi,Orpundstrasse 30a,Orpundstrasse30a,2555,Brügg BE,* 032 372 15 20,,
Schneider Werner,Orpundstrasse 13,Orpundstrasse13,2555,Brügg BE,* 032 373 11 64,,
Schriften/Siebdruck Meier Marcel Expo AG,Erlenstrasse 48,Erlenstrasse48,2555,Brügg BE,* 032 365 30 33,info@meierexpo.ch,
SDI GmbH,Mattenstrasse 11,Mattenstrasse11,2555,Brügg BE,032 374 77 00,info@sdigmbh.ch,
Sunflower Wellness und Kosmetikstudio,Mettgasse 8,Mettgasse8,2555,Brügg BE,* 079 819 37 40,sunflower-kosmetik@hotmail.com,
Syphon AG,Römerstrasse 7,Römerstrasse7,2555,Brügg BE,* 032 365 42 20,,
Taxi Schnider,Bärletweg 5,Bärletweg5,2555,Brügg BE,* 079 177 70 07,schnider.juerg@gmail.com,
TUI,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,032 373 53 54,bruegg@tui.ch,
UBS Switzerland AG,Bahnhofstrasse 2,Bahnhofstrasse2,2555,Brügg BE,* 032 374 42 11,,
Uhrenreparaturen Express Service,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 032 372 76 56,muccia@sunrise.ch,
"Voluma, Exissimo, Meroform Meier Marcel Expo AG",Erlenstrasse 48,Erlenstrasse48,2555,Brügg BE,* 032 365 30 36,info@meierexpo.ch,
Weber Elsbeth,Ahornweg 6,Ahornweg6,2555,Brügg BE,* 079 487 66 04,e-weber@bluewin.ch,
Wyss K. Transport AG,Wasserstrasse 4,Wasserstrasse4,2555,Brügg BE,032 366 60 80,,
Zentralamt für Edelmetallkontrolle,Industriestrasse 37,Industriestrasse37,2555,Brügg BE,* 058 462 66 22,,
Cafe Pikolo,Bielstrasse 1,Bielstrasse1,2555,Brügg BE,032 525 50 55,cafepikolo@outlook.com,
IMMOZENITH GmbH,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,032 333 33 37,info@immozenith.ch,
Gemeindeschreiberei Einwohner- u. Fremdenkontrolle Ortspolizei Stimmregister,Mettgasse 1,Mettgasse1,2555,Brügg BE,* 032 374 25 74,,
Schulsekretariat,Bärletweg 9,Bärletweg9,2555,Brügg BE,* 032 373 47 18,,
Bärlet I Oberstufe,Bärletweg 9,Bärletweg9,2555,Brügg BE,* 032 373 26 41,,
Bärlet II Unter- und Mittelstufe,Bärletweg 11,Bärletweg11,2555,Brügg BE,* 032 373 72 51,,
Werkhof,Industriestrasse 1,Industriestrasse1,2555,Brügg BE,032 373 10 22,,
Fachstelle für Altersfragen,Hauptstrasse 19,Hauptstrasse19,2555,Brügg BE,* 032 372 18 28,,
Kanalschulhaus,Kanalweg 24,Kanalweg24,2555,Brügg BE,* 032 373 13 40,,
Elektrizitätsversorgung,Obergasse 26,Obergasse26,2555,Brügg BE,* 032 373 46 48,,
Tagesschule Brügg,Bärletweg 9,Bärletweg9,2555,Brügg BE,* 079 224 26 41,,
Schulsozialarbeit,Bärletweg 9,Bärletweg9,2555,Brügg BE,* 079 238 79 40,,
Aula Unterstufe,Bärletweg 13,Bärletweg13,2555,Brügg BE,* 032 373 65 91,,
Jugendarbeit Soziokulturelle Animation,Hauptstrasse 19,Hauptstrasse19,2555,Brügg BE,032 373 57 31,,
Kindertagesstätte Kinderchalet Pfeid,Pfeidstrasse 24,Pfeidstrasse24,2555,Brügg BE,032 373 30 45,,
Feuerwehr/Feueraufsicht,Industriestrasse 1,Industriestrasse1,2555,Brügg BE,* 118,,
A. Keller Vitrerie SA,Erlenstrasse 34,Erlenstrasse34,2555,Brügg BE,* 032 373 15 66,,
Acushnet GmbH,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,* 032 397 22 35,,
Adria Mobil Schweiz GmbH,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,* 032 374 41 00,info@adria-mobil.ch,
afa SA,Portstrasse 35,Portstrasse35,2555,Brügg BE,* 032 366 54 80,info@afateam.ch,
Agemo SA,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,032 365 03 60,,
ALL-TAX Treuhand Feldmann,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,032 366 86 96,,
AMAG Automobil- und Motoren AG Biel,Römerstrasse 16,Römerstrasse16,2555,Brügg BE,* 032 366 51 80,,
Anapol Klimatechnik AG,Moosweg 1,Moosweg1,2555,Brügg BE,032 374 25 45,,
Andreoli Pius,Römerstrasse 19,Römerstrasse19,2555,Brügg BE,* 032 397 18 16,,
Anton Zanker,Neubrückstrasse 24,Neubrückstrasse24,2555,Brügg BE,* 032 372 73 54,,
AP-InTec Sàrl,Industriestrasse 37A,Industriestrasse37A,2555,Brügg BE,* 032 372 13 13,info@ap-intec.ch,
apropos büro GmbH,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,* 032 373 61 30,blunier@aproposbuero.ch,
ARA Region Biel AG,Portstrasse 40,Portstrasse40,2503,Biel/Bienne,* 032 366 50 70,info@mueve.ch,
ARC Nettoyage Sàrl,Bahnhofstrasse 4,Bahnhofstrasse4,2555,Brügg BE,078 907 43 36,info@arc-nettoyage.ch,
Arn & Hess AG,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,* 032 329 50 50,,
ASCO Numatics GmbH,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,032 374 45 10,info.swiss@emerson.com,
AUTOTEK RIZZO,Industriestrasse 37,Industriestrasse37,2555,Brügg BE,032 372 21 69,,
avservice.ch,Friedhofweg 12,Friedhofweg12,2555,Brügg BE,* 032 373 58 53,contact@avservice.ch,
AZ Logistics,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,* 032 365 37 02,,
Bau-Top 2001 GmbH,Bielstrasse 4,Bielstrasse4,2555,Brügg BE,* 078 794 81 71,,
BAUMGARTNER MARK,Bielstrasse 75,Bielstrasse75,2555,Brügg BE,* 032 396 56 06,info@baumgartner-werbung.ch,
Bertolotti Architektur AG,Hauptstrasse 1,Hauptstrasse1,2555,Brügg BE,* 032 373 54 57,bertolottiarchitekturag@bluewin.ch,
Bertrams-Sabu AG,Römerstrasse 7,Römerstrasse7,2555,Brügg BE,061 763 10 60,verkauf@bertrams-sabu.ch,
Betreutes Wohnen Zum Sodbrunnen,Orpundstrasse 22,Orpundstrasse22,2555,Brügg BE,* 032 373 27 87,,
Biella Büromaterial,Erlenstrasse 44,Erlenstrasse44,2555,Brügg BE,* 032 366 33 33,info@biella.ch,
Biella SimplyFind AG,Erlenstrasse 44,Erlenstrasse44,2555,Brügg BE,* 032 552 19 00,info@simplyfind.com,
Bijou les Boutiques,Römerstrasse,Römerstrasse,2555,Brügg BE,* 032 373 55 84,bruegg@bijoulesboutiques.ch,
Blatti Bodenbeläge,Bielstrasse 67,Bielstrasse67,2555,Brügg BE,* 079 653 39 71,info@blatti-bodenbelaege.ch,
Bodega 25,Hauptstrasse 14,Hauptstrasse14,2555,Brügg BE,* 032 372 70 80,,
BRM DESIGN AG,Mittelstrasse 2,Mittelstrasse2,2555,Brügg BE,032 365 53 30,mail@brm.ch,
Bruderer Ernst,Poststrasse 9,Poststrasse9,2555,Brügg BE,* 032 373 15 52,,
Bruderer-Nikles AG,Poststrasse 9,Poststrasse9,2555,Brügg BE,* 032 373 15 52,,
Brügg Garage GmbH,Mattenstrasse 5,Mattenstrasse5,2555,Brügg BE,* 032 372 11 11,,
Brustolin AG,Römerstrasse 17,Römerstrasse17,2555,Brügg BE,* 032 365 64 66,info@pneu-brustolin.com,
Bührer & Co. AG,Römerstrasse 15,Römerstrasse15,2555,Brügg BE,* 032 365 50 05,,
Café-Bar Neubrück,Pfeidstrasse 29,Pfeidstrasse29,2555,Brügg BE,* 032 365 88 25,,
Carrosserie,Römerstrasse 19,Römerstrasse19,2555,Brügg BE,* 032 397 18 16,,
Carrosserie Rucci's Sarl,Erlenstrasse 32A,Erlenstrasse32A,2555,Brügg BE,* 032 373 68 55,,
Cemex Research Group AG,Römerstrasse 13,Römerstrasse13,2555,Brügg BE,032 366 78 00,,
Centre Auto,Erlenstrasse 32A,Erlenstrasse32A,2555,Brügg BE,* 032 331 56 56,,
Centre Brügg,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 058 567 38 00,info@centrebruegg.ch,
Coiffeur 1908,Hauptstrasse 20,Hauptstrasse20,2555,Brügg BE,* 032 373 12 44,,
Contelec AG,Portstrasse 38,Portstrasse38,2503,Biel/Bienne,* 032 366 56 00,,
Denner AG,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 058 999 03 45,,
Di Benedetto & Quazza GmbH,Hauptstrasse 22,Hauptstrasse22,2555,Brügg BE,* 078 819 56 86,vittoria.benedetto@evard.ch,
Dieter Witschi GmbH,Prateiweg 1,Prateiweg1,2555,Brügg BE,* 032 341 27 73,,
Dive School Lakeland,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,* 079 372 38 14,,
DMG Armaturen GmbH,Erlenstrasse 2A,Erlenstrasse2A,2555,Brügg BE,* 032 373 28 38,info@dmg-armaturen.ch,
Do It + Garden Centre Brügg,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,058 567 38 70,,
Doncev Treuhand AG,Erlenstrasse 44,Erlenstrasse44,2555,Brügg BE,* 032 322 99 67,info@doncev-treuhand.ch,
Dosenbach + Sport,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 032 372 72 26,,
Drivetek AG,Industriestrasse 37,Industriestrasse37,2555,Brügg BE,* 032 332 79 32,info@drivetek.ch,
EasyCode-IT AG,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,* 032 511 48 22,info@easycode-it.com,
EasySystems GmbH,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,032 343 36 20,info@easysystems.ch,
EGS Sécurité SA,Neubrückstrasse 11,Neubrückstrasse11,2555,Brügg BE,* 0842 642 642,vente@egs.ch,
Electro-Müller AG/SA,Industriestrasse 25,Industriestrasse25,2555,Brügg BE,* 032 344 10 10,info@electro-mueller.ch,
Elégance Canine Dany's Dany Doffey,Friedhofweg 2,Friedhofweg2,2555,Brügg BE,* 032 341 04 89,,
Elkom Elektroinstallationen GmbH,Erlenstrasse 48,Erlenstrasse48,2555,Brügg BE,* 032 333 15 85,,
Evard Antennenbau AG,Wasserstrasse 8,Wasserstrasse8,2555,Brügg BE,* 032 373 12 14,info@evard.ch,
Evard Radio Television GmbH,Wasserstrasse 8,Wasserstrasse8,2555,Brügg BE,032 373 12 12,,
F. Tellenbach,Orpundstrasse 4,Orpundstrasse4,2555,Brügg BE,077 435 13 60,,
Franz Wyss AG Brügg,Pfeidstrasse 5,Pfeidstrasse5,2555,Brügg BE,* 079 250 23 25,franzwyss@solnet.ch,
FUJI ELECTRIC EUROPE GMBH,Industriestrasse 20A,Industriestrasse20A,2555,Brügg BE,* 032 325 11 55,,
Fusspflegestudio,Erlenstrasse 2,Erlenstrasse2,2555,Brügg BE,* 077 473 18 14,,
Galati Consulting,Wasserstrasse 4,Wasserstrasse4,2555,Brügg BE,* 032 372 12 80,,
Garage Antener GmbH,Erlenstrasse 29,Erlenstrasse29,2555,Brügg BE,* 032 342 32 71,info@garage-antener.ch,
Gemeindeverwaltung Brügg,Pfeideck 5,Pfeideck5,2555,Brügg BE,032 373 31 45,,
Gerber Coaching,Erlenstrasse 44,Erlenstrasse44,2555,Brügg BE,* 076 701 37 77,,
Gerber Coaching,Erlenstrasse 44,Erlenstrasse44,2555,Brügg BE,* 076 701 37 77,,
GFB Joachim Flückiger GmbH,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,* 032 366 86 30,info@g-f-b.ch,
"Glaus AG, elektronische Unternehmung",Sonnhalde 3,Sonnhalde3,2555,Brügg BE,* 032 372 20 30,,
Goldschmitt Schweiz GmbH,Erlenstrasse 29,Erlenstrasse29,2555,Brügg BE,062 923 45 12,,
Googplace GmbH,Erlenstrasse 44,Erlenstrasse44,2555,Brügg BE,032 333 33 20,,
Gorba AG,Erlenstrasse 35A,Erlenstrasse35A,2555,Brügg BE,032 374 74 80,,
Gotzmann Photography,Ahornweg 7,Ahornweg7,2555,Brügg BE,* 076 559 00 95,,
Grünert Rüdiger H.,Mattenstrasse 13,Mattenstrasse13,2555,Brügg BE,* 032 385 28 01,,
GS Film-Studio,Waldeckstrasse 7,Waldeckstrasse7,2555,Brügg BE,* 032 373 59 53,info@gs-filmstudio.ch,
GTT Tool Technology,Haldenstrasse 26,Haldenstrasse26,2555,Brügg BE,032 373 51 32,,
H & M Hennes & Mauritz SA,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 0800 66 55 90,,
Hartmann Fritz AG,Wasserstrasse 10A,Wasserstrasse10A,2555,Brügg BE,032 373 50 30,info@fritz-hartmann-ag.ch,
HASTEMA GmbH,Industriestrasse 20A,Industriestrasse20A,2555,Brügg BE,032 333 33 60,,
HD Biel - Brügg,Industriestrasse 37,Industriestrasse37,2555,Brügg BE,032 325 18 05,,
Helvetische Experten Gruppe,Bielstrasse 5,Bielstrasse5,2555,Brügg BE,* 032 552 01 95,info@cheg.ch,
HGX Europe Sàrl,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,032 365 39 11,,
"HIBAG AG, Immobilien, Architektur- und Ingenieurplanung",Mattenstrasse 16,Mattenstrasse16,2555,Brügg BE,* 032 373 33 23,hibagbau@bluewin.ch,
Hilken International SA,Mattenstrasse 4,Mattenstrasse4,2555,Brügg BE,* 032 512 21 69,,
ifoa GmbH,Bielstrasse 75,Bielstrasse75,2555,Brügg BE,* 032 345 35 35,info@ifoa.ch,
Informationsverlag Schweiz GmbH,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,* 032 501 40 00,,
Intrex-Creaktiv AG,Mattenstrasse 4,Mattenstrasse4,2555,Brügg BE,032 373 43 49,intrex@bluewin.ch,
ISOMA GMBH,Industriestrasse 37a,Industriestrasse37a,2555,Brügg BE,* 032 366 00 20,info@isoma.ch,
it5solutions.ch GmbH,Erlenstrasse 44,Erlenstrasse44,2555,Brügg BE,* 032 331 11 31,info@it5solutions.ch,
"Jacques Allemann, branch of Notz Metal Inc.",Bernstrasse 24,Bernstrasse24,2555,Brügg BE,* 032 485 15 66,info@jacques-allemann.ch,
Jessi's Pneu Shop,Römerstrasse 17,Römerstrasse17,2555,Brügg BE,* 032 365 64 66,info@pneu-brustolin.com,
JK Bauleitungen GmbH,Rainstrasse 15B,Rainstrasse15B,2555,Brügg BE,032 373 70 25,,
Joss-Kohler Architekten FH,Rainpark 19,Rainpark19,2555,Brügg BE,* 032 373 53 21,,
k kiosk,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,032 373 64 27,,
Kek GmbH,Mettgasse 7,Mettgasse7,2555,Brügg BE,* 032 372 20 00,,
Keldan GmbH,Industriestrasse 37A,Industriestrasse37A,2555,Brügg BE,* 032 333 16 28,,
Keller Wärme & Wasser AG,Erlenstrasse 15,Erlenstrasse15,2555,Brügg BE,032 373 51 53,,
Kilchhofer Fritz,Bielstrasse 71,Bielstrasse71,2555,Brügg BE,* 032 323 23 40,,
Kindertagesstätte,Pfeidstrasse 24,Pfeidstrasse24,2555,Brügg BE,032 373 30 45,,
Kirchgemeinde Bürglen,Rosenweg 1,Rosenweg1,2555,Brügg BE,* 032 373 42 88,,
Kirchgemeinde Bürglen Verwaltung,Industriestrasse 8,Industriestrasse8,2555,Brügg BE,* 032 373 41 40,sekretariat@buerglen-be.ch,
Kletzl André,Mattenstrasse 2,Mattenstrasse2,2555,Brügg BE,032 373 33 05,,
Kling Swiss SA,Erlenstrasse 32,Erlenstrasse32,2555,Brügg BE,* 032 331 85 53,info@kling-swiss.ch,
Kochdesign GmbH,Erlenstrasse 44,Erlenstrasse44,2555,Brügg BE,* 032 333 15 75,info@kochdesign.ch,
Küpfer u. Kunz AG,Bielstrasse 79,Bielstrasse79,2555,Brügg BE,032 373 12 92,,
LB Living GmbH,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,032 361 17 03,,
LP 24 Swiss GmbH,Grünweg 6,Grünweg6,2555,Brügg BE,* 032 373 28 14,,
MADOFF-COV SUZA,Bielstrasse 78,Bielstrasse78,2555,Brügg BE,* 079 913 38 11,,
Magitherm AG,Wasserstrasse 1a,Wasserstrasse1a,2555,Brügg BE,032 331 33 27,info@magitherm.ch,
Maisfeld Bucher & Paladino,Römerstrasse 7,Römerstrasse7,2555,Brügg BE,* 032 372 73 40,admin@maisfeld.ch,
Marché Brügg AG,Poststrasse 13,Poststrasse13,2555,Brügg BE,* 032 372 11 22,info@marchebruegg.ch,
Mécanor SA,Erlenstrasse 52,Erlenstrasse52,2555,Brügg BE,032 366 68 00,,
Medbase Apotheke Biel Brüggmoos,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,032 373 16 71,,
Media Markt Schweiz AG,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 032 374 78 78,,
