titel;author;konferenz;veranstaltungstitel;zeitschrift;datum;Tweet Datum;Tweet
;;;;;;2016-10-21 16:25:55+00:00;Ist Bereitschaft zu geringerem Verdienst Kurzfristdenken oder eben gerade nicht? https://t.co/umzblmkpSn
;;;;;;2016-10-18 14:09:01+00:00;"Systematisch weniger Mühe, Komplikationen durch Weglassen von Unnötigemund &amp; Behinderndem: https://t.co/aITeYUpEHi"
;;;;;;2016-10-17 13:11:33+00:00;RT @ValaAfshar: The first implantable mobile phone 📱 will become commercially available in 2025. —@wef #IoT #GartnerSYM https://t.co/wMcfRW…
;;;;;;2016-10-17 13:10:23+00:00;"RT @ValaAfshar: Digital transformation business leaders:

1. #CMO (34%)
2. #CEO (27%)
3. #CIO (19%)

#GartnerSYM https://t.co/vRpitLieQV ht…"
;;;;;;2016-10-17 13:10:23+00:00;"RT @ValaAfshar: Digital transformation business leaders:

1. #CMO (34%)
2. #CEO (27%)
3. #CIO (19%)

#GartnerSYM https://t.co/vRpitLieQV ht…"
;;;;;;2016-10-17 13:08:19+00:00;RT @amcafee: The Chinese copycat ecosystem is panoptic and FAST. See a good idea on Kickstarter, make+sell it immediately https://t.co/yfZW…
;;;;;;2016-10-17 09:08:05+00:00;Kolumne zum Lehrstuhl-NL: Ärgernis Konferenz-Badges - Call for Start-up-Action: https://t.co/LSEZJWDD71
;;;;;;2016-10-17 09:05:36+00:00;Die Beiz als Edu-Room - nicht nur wg WLAN - für Lerngruppen in St.G. Wo genau? hier: https://t.co/0HHD3nvehI
;;;;;;2016-10-11 22:20:19+00:00;Lean Mail: viel Muda im üblichen Nett-Sein, d.h. Weglassen ist die neue Höflichkeit. Kein Anrede, kein Schlussgruss… https://t.co/vt4nSWzHSQ
;;;;;;2016-10-11 22:10:20+00:00;Card-Style-UX eingehend erläutert. Thx - positiver Impuls, das Redesign unserer Website anzupacken https://t.co/G81DNsXSeN
;;;;;;2016-10-09 08:57:30+00:00;Seen Video-CfP-Statements @wi_2017 von Profs Winter/vom Brocke #wi2017 ? @amaedche help engage (PhD) students - thx!
;;;;;;2016-10-09 01:08:37+00:00;Nice - isn't this an example of predictive analytics? Now what action to take and decisions to make for which perso… https://t.co/2kH49YXtCv
;;;;;;2016-10-09 00:59:00+00:00;RT @vandrico_inc: Article from @VancouverSun talking about #IIoT and #wearables innovation in BC @GonzaloTudela https://t.co/q73X2rvjY7
;;;;;;2016-10-09 00:52:47+00:00;Sounds like a great idea for my next (research) sabbatical project - how else would one manage to read 4.5 books a… https://t.co/iUyNENtPiM
;;;;;;2016-10-06 21:00:08+00:00;"Courageous ideas! Also like: 'Sci &amp; tech edu is disconnected from humanistic studies and social impact ...' https://t.co/rP4tIJtdOK"
;;;;;;2016-10-06 20:49:01+00:00;"@sms2sms @joshbegley ""data is fetishized today'. Like that expression. Video, I miss double speed function."
;;;;;;2016-10-05 21:16:43+00:00;"Want to visit St.Gallen next June? Submit to VHB-Jahrestagung by 30. Nov, D or E. CfP (Conference; Practice): https://t.co/6jTelH3oJx"
;;;;;;2016-10-05 20:24:14+00:00;RT @wi_2017: Prof. Jan vom Brockes Video lädt herzlich zum CfP https://t.co/VdrgikZ8CQ für den #wi2017 Student Track ein. Video: https://t.…
;;;;;;2016-10-05 06:20:30+00:00;@zeitonline Oh mein Bot https://t.co/2GItq5XMwC - wieso heisst es CHATbot? Sind doch DIENSTbots: machs, und red nicht lang rum!
;;;;;;2016-10-04 21:55:04+00:00;RT @wi_2017: Prof. Winters Video zum CfP https://t.co/JqLykHsh7h für das #wi2017 Doctoral Consortium zeigt den tollen Seminarort https://t.…
;;;;;;2016-10-03 19:42:00+00:00;"RT @jasonsparrow: A new generation of #CIO thinking emerges

https://t.co/HuhAdEhNlr @ZDNet @dhinchcliffe https://t.co/D4EFeaaAA0"
;;;;;;2016-10-02 13:07:20+00:00;Humans are back - in curation. Augmenting algorithms with human intelligence, I'd say. https://t.co/GdQRJkDxvO
;;;;;;2016-10-01 16:57:23+00:00;RT @dtdotme: @dhinchcliffe here's another great one by @TheCR, great insights into targeted outcomes https://t.co/iNU4TfzSio
;;;;;;2016-10-01 16:55:38+00:00;"RT @Damir_Bogdan: 65% of banks expected to have #blockchain projects in production in three years' time - #exponential ?!
#innovation https…"
;;;;;;2016-10-01 16:55:38+00:00;"RT @Damir_Bogdan: 65% of banks expected to have #blockchain projects in production in three years' time - #exponential ?!
#innovation https…"
;;;;;;2016-10-01 16:51:18+00:00;@sms2sms Seh dich auch in meiner TL. Nur fast nie versteh ich worum es geht. Bin Fan guter Visualisierungen, ja.
;;;;;;2016-10-01 16:28:23+00:00;"RT @dietoff: nice kickstarter visualizations (especially the circle-packing ones) by 
@polygraphing https://t.co/XdxASjIj6a"
;;;;;;2016-09-29 20:19:14+00:00;Eigentlich gar keine Zeit zur Zeit. Aber Imagine IoT #mooc muss sein. Week1 fast geschafft: https://t.co/HHuOH22NtA
;;;;;;2016-09-29 11:04:30+00:00;4th Place - Study Boat. Einladende Idee, ein Coworking-Space auf dem Schiff, zum Entschleunigen: https://t.co/3Tn1sKrCP9
;;;;;;2016-09-27 22:54:31+00:00;"RT @MCodourey: ""Buildings are literally becoming giant computers,"" says @WeWork. Here's how they're improving the OS: https://t.co/g0r7vaNL…"
;;;;;;2016-09-27 18:47:21+00:00;Sieht aus als wollten sie Londons Wolkenkratzer The Gherkin ins All schiessen. https://t.co/iu5t5KUySB
;;;;;;2016-09-27 18:42:47+00:00;Not a MOOC, but a SPOC - small PERSONALIZED online course, rather coaching than course with Ajit at your side. https://t.co/vgSIrO8D0n
;;;;;;2016-09-27 11:49:52+00:00;RT @rossdawson: The top 10 IoT application areas – based on real IoT projects https://t.co/uEOVXKaiUy HT @evankirstel https://t.co/MBp6Mz3x…
;;;;;;2016-09-24 19:19:38+00:00;@hdzimmermann  Nicht Masterarbeiten abschaffen, nur deren Textgewicht: andere Formen der Argumentations-(Denk)-Darlegung finden. Ideen?
;;;;;;2016-09-24 19:16:34+00:00;@KevinKohlerFM  Lösungsvorschlag: Studierende könnten Ihre (Top)Essays im self-publishing posten?!
;;;;;;2016-09-24 10:36:01+00:00;Gute Frage: Ist die viele Zeit der Studierenden für Schreiben von Essays/Theses sinnvoll ver(sch)wendet?
;;;;;;2016-09-24 10:10:46+00:00;"Neu &amp; gut: Strategieklausur @ Business School: YuMi robot am Referentenpult. https://t.co/IJnLWBj0sK"
;;;;;;2016-09-18 07:51:14+00:00;"RT @ValaAfshar: Easy work:
1 complaining
2 imitating
3 blaming
4 judging
5 waiting

Hard work:
1 inspiring
2 empowering
3 teaching
4 helpin…"
;;;;;;2016-09-17 20:03:41+00:00;RT @mike4smama: Es bewahrt mich, alle 2 Minuten mein #Smartphone zu checken. Go more offline! But 'think #mobile first'! #hwzmobile https:/…
;;;;;;2016-09-15 10:20:41+00:00;(M)eine Beobachtungen zur Schlafkultur in der Kolumne - Trendscouting Schlafen 4.0: https://t.co/OVwE24pXTp
;;;;;;2016-09-15 10:18:06+00:00;Erstmals von Huddle Rooms gehört - daher kommt das Wort bzw. Konzept, aus dem Sport: https://t.co/QUQvFObwZP
;;;;;;2016-09-14 06:24:45+00:00;Neu-Design von @stgb_ch zeugt von St. Gallens Schüttstein Image. Sogar strahlende Sonne ist regnerisch blau. https://t.co/vWaP66nqOT
;;;;;;2016-09-12 22:37:46+00:00;Agree. First Brexit 6500-6000 BC. And Pokemons too - Go find them! https://t.co/aRbSLu0YuL
;;;;;;2016-09-12 22:24:40+00:00;"RT @strategyzer: Never outsource the testing of your ideas. Get your hands dirty &amp; talk to customers: https://t.co/1UwzgMKzZM https://t.co/…"
;;;;;;2016-09-12 22:24:40+00:00;"RT @strategyzer: Never outsource the testing of your ideas. Get your hands dirty &amp; talk to customers: https://t.co/1UwzgMKzZM https://t.co/…"
;;;;;;2016-09-11 14:16:12+00:00;Silicon Valley Mgmt Safaris, was bringts? Der Frage geh ich im FJ17 nach. Danke fürs Hinterfragen. https://t.co/cekhEdLoRa
;;;;;;2016-09-10 10:57:11+00:00;Festival Images Vevey showcases St Galler Bratwurst. @ Beni Bischof Bar https://t.co/zNeTvFtduu
;;;;;;2016-09-09 19:34:58+00:00;Als St. Gallerin muss ich allein deswegen zur Fotobiennale: https://t.co/YPHECVq0C4
;;;;;;2016-09-07 17:33:12+00:00;Scope | Netzwirtschaft: “Native Advertising boomt in Deutschland” via https://t.co/BOb7AWQ2J5
;;;;;;2016-09-07 17:20:56+00:00;Lange Nächte ringsum: der Museen: StG, der Gärten: Bodensee, der CoWorking Forschungsfragen bei mir.
;;;;;;2016-09-06 22:28:20+00:00;War auch zu lesen, aber Sehen doch eindrücklicher. Video gut gemacht. https://t.co/iPHgfsxrWu
;;;;;;2016-09-04 18:00:14+00:00;RT @barbarajosef: Auf mehrfachen Wunsch (= kein Schwein hat danach gefragt) gern nochmal: Die Schildbürger GmbH führt Home Office ein  http…
;;;;;;2016-09-04 17:58:41+00:00;RT @mebner: Booksprints im Hochschulkontext (in german) #gmw16  https://t.co/cuxcK4oFJ7
;;;;;;2016-09-04 16:47:27+00:00;Gutes Auge - braucht man als Fotograph: Camouflage: https://t.co/zqhezwZFzy
;;;;;;2016-09-02 22:20:41+00:00;Kurz #workation inst eingeplant für Herbst-Winter, wenn Wassertemperatur - für Normalos - zu kalt zum Schwimmen. https://t.co/W87O62d3r5
;;;;;;2016-09-02 22:09:56+00:00;"RT @2morrowknight: ""The History Of #Wearable Technology"" (Source: Tech Crunch)

#InternetOfThings #IoT #WearableTech https://t.co/y2DUc1Yr8A"
;;;;;;2016-09-01 04:59:12+00:00;Lieblingsorte in St.Gallen? Kunstgiesserei z.B. #sitterwerk. Hatte gerade 30 Jahrfeier: https://t.co/nVb9l5LCIC
;;;;;;2016-08-20 20:22:49+00:00;"Was für ein Fest 10 J @sitterwerk und 30 J Kunstgiesserei: Feuerwerk an flammenden Ideen &amp; Genüssen. Danke https://t.co/BOkp1PY38d"
;;;;;;2016-08-19 19:11:28+00:00;RT @dhinchcliffe: The Top Ten Emerging #Tech of 2016 | @WSJ https://t.co/hdWbXWkTr5 Some very new interesting developments. #cio #ai #block…
;;;;;;2016-08-19 19:08:03+00:00;"RT @christophborer: 'We're just rentals': Uber drivers ask where they fit in a self-driving future

https://t.co/Ca3efWB4Ft"
;;;;;;2016-08-18 15:52:53+00:00;RT @myview: Gute Entscheidung: Mehr Feedback statt Noten #Personalführung : #SAP will #Mitarbeitern keine #Noten mehr geben https://t.co/HH…
;;;;;;2016-08-18 15:43:31+00:00;"RT @MarkusKorherr: US-Forscher warnen: ""Okay Google"" – darum lieben Hacker diese Worte https://t.co/k1q53Azv4x"
;;;;;;2016-08-13 21:51:08+00:00;Betthupferl Video: drone courtship https://t.co/Kf5UWDreqb
;;;;;;2016-08-12 16:52:44+00:00;Kunst von Chr. Niemann für mein Büro, fast ein Selfie. Danke @abstractsunday https://t.co/1vEu6LXl7O
;;;;;;2016-08-12 16:52:44+00:00;Kunst von Chr. Niemann für mein Büro, fast ein Selfie. Danke @abstractsunday https://t.co/1vEu6LXl7O
;;;;;;2016-08-12 16:38:12+00:00;RT @Fonski_Berlin: Eine der besten Beschreibungen eines Burnouts, die ich je gelesen habe. https://t.co/Kpen8mKRo6 @editionf_com
;;;;;;2016-08-10 12:02:46+00:00;Wo ist die Definition von Missstand für (anonyme) Hinweise bei: https://t.co/VvBVHDNq9U
;;;;;;2016-08-09 19:28:04+00:00;Niuws | Produktivität: “Working From Phone” via https://t.co/OmMul6IUBZ
;;;;;;2016-07-22 21:47:46+00:00;Lärmumgebung (Noisy Spaces, p14) = Lernumgebung. Lehre 2020 @ WU Wien: Workshop-Input: https://t.co/3Nqzy11Xbz
;;;;;;2016-07-20 22:32:45+00:00;Seit langem wieder Blogpost geschrieben - wegen Christos und Jeanne-Claudes #FloatingPiers Web-Zeitgeist-Erlebnis: https://t.co/i2vtwpQepj
;;;;;;2016-07-20 21:03:58+00:00;Mein Stand-der-Kunst Videostatements: https://t.co/BNyZydetYd. Ab Sept. zu sehen, was ich im MAZ Videojournalismus Kurs gelernt habe.
;;;;;;2016-07-20 20:58:48+00:00;Noch mehr zum Thema im top-aktuellen und -relevanten Heft. https://t.co/tUdNXMytcf
;;;;;;2016-07-20 20:54:46+00:00;Passender Artikel für Strandlektüre https://t.co/XEPju6LxaN
;;;;;;2016-07-19 21:58:28+00:00;RT @elgreco66: Must read: “Don’t Replace People. Augment Them.” by Tim O'Reilly @timoreilly #futureworkplace #futuretrends https://t.co/Iri…
;;;;;;2016-07-18 21:57:59+00:00;"RT @barbarajosef: Hat mir jemand einen Tipp, wer das Transkribieren von 30 Interviews (Tonspur) von Schweizerdeutsch &amp; English in Hochdeuts…"
;;;;;;2016-07-18 21:56:13+00:00;Immer wieder erfreulich: Innovation in Alltagsdingen. Bank@Bhf Babenhausen https://t.co/rIaNFp8q3q
;;;;;;2016-07-06 20:59:16+00:00;@solarimpulse nach Atlantiküberquerung. Video-Minute 1 ff. erinnernswertes Traum(haftes) Bild mit Mond: https://t.co/dQWbEB9fp0
;;;;;;2016-07-06 14:17:24+00:00;Niuws | Kompetenzen für 21. Jhd: Simplicity bei Zitat Webquellen” via https://t.co/uVNoxMEv15
;;;;;;2016-06-29 09:27:06+00:00;Haptische Wahrnehmung mit den Füssen. Einmalig. #FloatingPiers #Christo https://t.co/rPChP8kj2X
;;;;;;2016-06-05 22:54:21+00:00;RT @jochum_k: The most quantified man, @_pekko_, hat sich seine Bitcoin-Wallet in die Hand implantieren lassen. #mbforum16 #cyborg
;;;;;;2016-06-02 08:51:25+00:00;Kunst und IoT werden sich mögen. Hack eTextiles am Vorabend #mbforum16 https://t.co/dt9rKTkQbf
;;;;;;2016-06-01 12:00:11+00:00;Kunst und IoT werden sich mögen. Hack eTextiles am Vorabend #mbforum16 https://t.co/L1tkK7gSBW
;;;;;;2016-06-01 10:24:49+00:00;Maker movement am #mbforum16 Kreativworkshop mit LED eTextiles https://t.co/6A1I5Zsuz6
;;;;;;2016-05-19 15:20:20+00:00;Meine Kolumne Auswüchse des Open Space Büros: Rennen und Ruhe trifft einen Nerv, wird kommentiert: https://t.co/qR99wMf3vU
;;;;;;2016-05-19 15:20:20+00:00;Meine Kolumne Auswüchse des Open Space Büros: Rennen und Ruhe trifft einen Nerv, wird kommentiert: https://t.co/qR99wMf3vU
;;;;;;2016-05-16 21:53:35+00:00;RT @rzollet: PwC survey finds parents are more likely to own wearables https://t.co/X5xoDB9vb5 via @MobiHealthNews cc: @stadtnomadin cc: @A…
;;;;;;2016-05-09 07:31:38+00:00;"""Sind Sie dabei? Studie und Forum ""Smart-Augmented-Connected"". 1. Juni St.Gallen"" by @ABack on @LinkedIn https://t.co/P36o5a1kA4"
;;;;;;2016-05-04 21:33:04+00:00;"RT @bzanvit: #wearables @ banks; die @zkb_ch teilt beim Innovation Speeddating am #mbforum16 ihre Erfahrungen mit Smart Watches. https://t.…"
;;;;;;2016-05-04 21:32:42+00:00;RT @stadtnomadin: Wearable Technology nicht nur in der Keynote beim #mbforum16, sondern auch zum Selbermachen: Smart Textile Workshop mit @…
;;;;;;2016-05-04 21:24:26+00:00;And the mobile business award winner is? Jury @Stanoevska @Enrico_Senger @mike4smama knows. Attend #mbforum16 https://t.co/KXVW9oNgSD
;;;;;;2016-05-04 21:18:55+00:00;#mbforum16 award jury at work. Thx @Stanoevska @mike4smama @Enrico_Senger @stadtnomadin https://t.co/T2cMAM3LB9
;;;;;;2016-05-04 21:07:58+00:00;RT @wi_2017: Der Projektleiter Dr. Christoph Peters stellt vor, womit die Konferenz #wi2017 für die Teilnehmenden aufwartet. https://t.co/X…
;;;;;;2016-05-03 10:05:20+00:00;@TechPreacher War sehr inspirierend und fördert die Maker-Haltung - Danke sehr!
;;;;;;2016-05-02 13:10:12+00:00;@TechPreacher zeigt @Hsgstgallen @aback Vorlesung den azure IoT Baukasten und rp sensor https://t.co/DBtt6P6D8D
;;;;;;2016-04-28 05:44:19+00:00;Attend CH Mobile Biz Forum Jun1: Top in Industry #wearables Tudela @vandrico_inc: keynotes  https://t.co/NjA9gFQEBi https://t.co/hejC7vhFjs
;;;;;;2016-04-28 05:31:14+00:00;Inno Speeddating und Studie: Smart-Augmented–Connected, 1.6. St.G. nicht verpassen: https://t.co/NjA9gFQEBi https://t.co/zYmJaM17wY
;;;;;;2016-04-22 17:29:37+00:00;RT @stadtnomadin: Der zweite Teil unserer Studie zur Digitalen Transformation mit @TSystems_MMS kann jetzt heruntergeladen werden: https://…
;;;;;;2016-04-21 20:55:38+00:00;Guter Punkt: Mobile apps - complete a task. Websites - access to information.” by @hybridcap on @LinkedIn https://t.co/fNLPUyV0xL
;;;;;;2016-04-21 12:09:00+00:00;Was macht man mit Daten? Gute Darstellung V. Vogel, Postfinance https://t.co/5wh60hKDPZ
;;;;;;2016-04-20 15:27:57+00:00;Neu: Innovation Speeddating und Smart-Augmented-Connected Studie am 5. St.G. Mobile Business Forum, 1. Juni: https://t.co/lLLmfxj08s
;;;;;;2016-04-15 10:12:29+00:00;Warum Buch in digital für Leser oft gut ist: Kolumne: Lesersicht - ein Buch ist Werkstoff, nicht Werk: https://t.co/H13DY7KDsH
;;;;;;2016-04-12 10:11:07+00:00;@eformateur Ad Feedback. In eL, genau ITL Mathe, wollen die Studis Learning Analytics, aber fragen nach Umgang mit den Daten.
;;;;;;2016-04-12 09:46:30+00:00;@eformateur z.B. statt Abschlusspräsis Ergebnisvorschautreffen-Feedback-Finalpräsi.
;;;;;;2016-04-12 09:39:57+00:00;Effektiv Lernen? Feedback, Feedback, Feedback. Fordern unsere Studis auch an Uni. #selc16
;;;;;;2016-04-12 09:39:57+00:00;Effektiv Lernen? Feedback, Feedback, Feedback. Fordern unsere Studis auch an Uni. #selc16
;;;;;;2016-04-12 09:28:36+00:00;Ist das nicht auch ein Wearable? Für Voting. #mbforum16 https://t.co/9qiM8XZEdW
;;;;;;2016-04-12 09:22:57+00:00;Könnten wir für Abstimmungen an grossen Sitzungen @HSGStGallen gebrauchen https://t.co/Ef5EPHnqKY
;;;;;;2016-04-12 08:39:19+00:00;Bad news: Aufrüstung Cybercrime + Datensensibilisierung drängt Tools wie WhatsApp bzw Learning Schatten IT zurück. #selc16
;;;;;;2016-04-12 08:25:00+00:00;How does learning look like? Gute Frage. Warum nicht aus Lerner Perspektive, wie Customer Journey Ansatz. #selc16
;;;;;;2016-04-12 08:11:24+00:00;Würde man heute Connected Learning sagen? Vgl. Connected Car. #selc16
;;;;;;2016-04-12 07:51:13+00:00;Ist es ok, aus hinteren Reihen mit Stuhl vor zu kommen? Für Kurzsichtige #selc16
;;;;;;2016-04-12 07:42:25+00:00;Feedback mal anders, schön. #selc16 https://t.co/VZJ4aRXmRl
;;;;;;2016-04-10 22:01:22+00:00;Sonne gesucht und gefunden. #VERLIEBTindieSCHWEIZ Kamelienpark Locarno eine Augenweide https://t.co/FRhRshCwYn
;;;;;;2016-04-01 16:41:41+00:00;#kultprodukt Beleg: St.Gallerin auf Zue-Besuch isst St.G. Bratwurst im Sternen https://t.co/gIZuNEQfpQ
;;;;;;2016-03-29 07:11:09+00:00;In edX MOOC, PolyU HK, von @ktochtermann was über Linked Open Data gelernt: .https://t.co/0PwLUXpPFH Thx also to @eric_yh_tsui
;;;;;;2016-03-26 00:41:32+00:00;RT @MichaelvanLaar: Most dugg on @digg: Everything You Know About Artificial Intelligence is Wrong – https://t.co/HdETrHr1B6 https://t.co/b…
;;;;;;2016-03-25 16:45:36+00:00;Krimi Matto regiert (glauser) https://t.co/VSMui1LiBO gelesen. NULL Anglizismen bzw. Denglisch. Dass das mal ging ...
;;;;;;2016-03-25 12:27:52+00:00;Q answered: the unknown (to me) mobile robot is a Knightscope K5 security robot. Thx @eric_yh_tsui. https://t.co/t1ckwZ49dB
;;;;;;2016-03-24 12:51:17+00:00;@Wi2017 Hi, would you share who owns this account? Pls email to andrea.back at unisg.ch (one of chairs Wi 2017 conference). Thx
;;;;;;2016-03-23 17:12:10+00:00;"Nun vor Ostern fertig: Digital Maturity&amp;Transformation Report 2016 - Download: https://t.co/uLfwwTRs2t. Teilnahmen 540+"
;;;;;;2016-03-23 16:49:54+00:00;UMO - Unknown mobile robot object gesichtet. Weiss jemand, was das ist und wozu? https://t.co/vq2wz75yMT
;;;;;;2016-03-23 16:34:40+00:00;Ist mir mal wieder für eine Kolumne zu Mute gewesen: Microchallenges ungelöst: https://t.co/qGJi9IlNk9
;;;;;;2016-03-16 09:30:01+00:00;Noch am wenigsten verstanden: Wearables. Mit unserer Studie und dem #mbforum16 wird sich das wohl ändern :-)
;;;;;;2016-03-15 11:03:32+00:00;#SwissPavilion Gastland CH auf Cebit mit Wearables Use Case, für Skifahrer S. 69 https://t.co/PR0obQopXN
;;;;;;2016-03-15 11:03:32+00:00;#SwissPavilion Gastland CH auf Cebit mit Wearables Use Case, für Skifahrer S. 69 https://t.co/PR0obQopXN
;;;;;;2016-03-11 11:03:16+00:00;Was für ein Auftakt, freuen uns. https://t.co/mRkbpbkE0M
;;;;;;2016-03-10 12:30:15+00:00;RT @bzanvit: Mobile Connectivity im Unternehmen - Unser Beitrag in der aktuellen @News_ITbusiness https://t.co/M4qm8sbo00 #mbforum16 #weara…
;;;;;;2016-03-10 12:30:04+00:00;"RT @bzanvit: Digitalisieren, aber richtig! Das Webinar mit Erfahrungsbericht zur Digital Maturity Studie von @stadtnomadin 
https://t.co/Gx…"
;;;;;;2016-02-26 08:24:43+00:00;3rd places - Auszeit-Arbeiten wo andere Urlaub machen. Hab miaEngiadina verstanden. https://t.co/vNEFaZrecg. Will ich
;;;;;;2016-02-25 21:30:21+00:00;@surface my surface book is my work hub. 90% I use it with keyboard. Tip: avoid meetings, coffee risk☺
;;;;;;2016-02-23 16:03:31+00:00;My #SurfaceBook tabletscreen had palpitations after I spilled coffee. It survived, so glad! I love quality.
;;;;;;2016-02-19 15:52:14+00:00;Erste Bsp. auf Slideshare https://t.co/hwY3ZcTL27 als Inspiration. https://t.co/maE0doT8sG
;;;;;;2016-02-19 15:48:11+00:00;Wieder mal eine Kolumne geschrieben: FLIPPED geht alles besser: https://t.co/OCGISINMJ1
;;;;;;2016-02-12 14:22:44+00:00;Glückliche Liaison, Mensch und Mobile (wer den off-Modus kann). Slides zum Productivity Survey '16: https://t.co/M7h51Axa2N
;;;;;;2016-02-12 08:41:24+00:00;Digital Transformation - genauer hingeschaut. Wir machen forschend weiter so. https://t.co/v53UlttHme
;;;;;;2016-02-01 12:48:40+00:00;"""Bald 500 Teilnahmen am Digital Maturity Check - Mitmachen noch bis 8. Feb. möglich"" by @ABack on @LinkedIn https://t.co/ewjVwfmrJL"
;;;;;;2016-01-27 16:02:36+00:00;#popsci2016 What we managed to do Videoabstract (PROTOTYPE): Wearables @ workplace: https://t.co/7AzTvL2crW
;;;;;;2016-01-27 11:35:30+00:00;#popsci2016 Feedback to 1st script for enterprise wearable study: kill a third of the words.
;;;;;;2016-01-27 08:52:44+00:00;#popsci2016  Profis haben Handy Tripod dabei. Unter 5 EUR https://t.co/QRc94Muye0
;;;;;;2016-01-27 08:36:13+00:00;Drücke Schulbank. #popsci2016 Videoabstracts für wissen. Artikel produzieren. TIB Hannover
;;;;;;2016-01-06 16:36:26+00:00;A new course of mine: Enterprise Applications of Text Intelligence - Find most of the slides here: https://t.co/BpaDsDBz4E
;;;;;;2016-01-05 17:06:11+00:00;Video abstracts for scientific papers - good idea. I'll go for a 1-day training: https://t.co/grLDc1NKqV
;;;;;;2015-11-24 08:30:23+00:00;Gastreferentin Prof. I. Junglas nennt die Apple IT Genius bar als Vorbild für Service durch die Unternehmens IT - schöne Vorstellung
;;;;;;2015-11-23 22:31:42+00:00;Wie treffend und schön anzuschauen! Ach, wünschte ich könnte das auch! Mehr davon :-) https://t.co/0Ng1NZW9so
;;;;;;2015-11-23 22:31:42+00:00;Wie treffend und schön anzuschauen! Ach, wünschte ich könnte das auch! Mehr davon :-) https://t.co/0Ng1NZW9so
;;;;;;2015-11-23 15:26:02+00:00;Seeing SAP Hana in action - dashboard, tweet-analysis - for the first time. Really realtime :-) #HSGAXA
;;;;;;2015-11-23 15:10:16+00:00;Axa ist sehr aktiv im Bereich Social Media und Content Marketing, erfahren wir #HSGAXA. Richtung ist trigger-based CRM
;;;;;;2015-11-23 15:08:26+00:00;Axa-Referenten fordern mein Studierenden-Team an Exkursion #HSGAXA mit dichtem Programm zu Enterprise Applications of Text Intelligence
;;;;;;2015-10-26 12:01:54+00:00;Toll, schön und produktivitätssteigernd zugleich - oder? https://t.co/dBwD3orpbl
;;;;;;2015-10-26 11:10:05+00:00;Gutes Video-Statement (unten): Führung wie sie die junge Generation erwartet #Digital ... https://t.co/LhztkaMH7U
;;;;;;2015-10-18 19:04:05+00:00;Seit @Trello ist meine Post-it-To-Do-Organisation Geschichte. Und jetzt in Kanban-Geist. http://t.co/jj3wPgDnly #Trello10m
;;;;;;2015-10-15 10:47:52+00:00;"In StG ist #olma . Kolumne also: ""Drohnen und Big Data statt Kuhglocken und Big Sounds"": http://t.co/HE66RlD77X"
;;;;;;2015-10-15 10:44:56+00:00;Bestellter Vortrag war Das neue Lernen. Habe Das neue Arbeiten draus gemacht: http://t.co/qm3z0yzjSs
;;;;;;2015-09-16 07:24:29+00:00;Kolumne inspiriert von eigener Erfahrung: Das Buch in Zukunft - es schlägt zurück: http://t.co/LsYEQf3QjB
;;;;;;2015-09-16 07:21:31+00:00;Wow-Kundenerlebnis @sbbnews . Zurück von Zue-StG weiss Zugbegleiter noch - 8 Std. später - dass er mein Ticket schon gesehen hat.
;;;;;;2015-09-07 12:35:10+00:00;"Lehrstuhlassi- &amp; Doktoratstelle Mobile Business. Ab 1. Feb. an meinem Lehrstuhl, IWI Uni St.Gallen - http://t.co/FuRjiHhS8K"
;;;;;;2015-09-07 12:33:41+00:00;"Lehrstuhlassi- &amp; Doktoratstelle Mobile Business. Ab 1. Feb. an meinem Lehrstuhl, IWI Uni St.Gallen - http://t.co/OxampaSVt6"
;;;;;;2015-08-25 10:38:44+00:00;Question answering technologies and solutions: Aktueller denn je https://t.co/6hKDrFmGOo
;;;;;;2015-08-23 20:20:23+00:00;@phogenkamp Get Started = Beginnen - Loslegen - Packs an - Start - Auf gehts, mehr nicht drin in 10 sec.
;;;;;;2015-08-23 20:18:05+00:00;Privates Weglass-Management beim Wohnen Tiny House Bewegung: http://t.co/sKCAMyhFbO
;;;;;;2015-08-11 12:14:01+00:00;Welche Erfahrung gibt es mit @IdeaPaint Walls? Leicht entfernbar wäre wichtig- gibst was Aufklebbares? Welche Nachteile hat es?
;;;;;;2015-07-01 09:55:11+00:00;Great customer experience, thanks @trippluggage. Smooth and fast delivery on 5 year guarantee, with human-to-human email interaction.
;;;;;;2015-06-09 13:29:21+00:00;Weltraummüll erschreckend visualisiert: http://t.co/PuwooW8FwR. Wohl wieder wahr: Nur aus Schaden wird man klug.
;;;;;;2015-06-06 16:35:03+00:00;"Kindersprüche (3) #faz ""Mami, können Männer auch Bundeskanzlerin werden?"" (Henry Elias Korflür)"
;;;;;;2015-06-06 16:35:03+00:00;"Kindersprüche (3) #faz ""Mami, können Männer auch Bundeskanzlerin werden?"" (Henry Elias Korflür)"
;;;;;;2015-05-28 11:42:21+00:00;#mbforum15 Award ist da - geht am 3.6. https://t.co/lLLmfx1pgU  in die Hände von ??. Videoeinladung-3  http://t.co/nCfp78jsR3
;;;;;;2015-05-27 09:43:24+00:00;Videoeinladung-2 http://t.co/SYbzb2bi32: Dabei sein nä Wo am #mbforum15, https://t.co/lLLmfx1pgU.
