web-scraper-order;Publikation (Autoren, Jahr, Titel, Journal/Konferenz)
1647018432-4138;"Back, Andrea:
	Vom Kursprojekt zum Reengineering der Bildungsprozesse.
    	In  
    	Zinke, Gert & Haertel, Michael (ed.): 
    	E-Learning: Qualität und Nutzerakzeptanz sichern : Beiträge zur Planung, Umsetzung und Evaluation multimedialer und netzgestützter Anwendungen. 
	Bielefeld :
	Bertelsmann,
	2004,
	S. 95-104."
1647018432-4356;"Back, Andrea:
	E-Learning industry updates & recommendations.
	Global Cumputer Training Services Conference.
	Buonas,
	24 March 2004."
1647018432-4041;"Back, Andrea & Toedtli, Maria Camilla:
	Narrative Hypervideos: Methodenentwurf zur Nutzung usergenerierter Videos in der Wissenskommunikation.
	2012.
	- Jahrestagung der Gesellschaft für Medien in der Wissenschaft (GMW).
	- Wien."
1647018432-4037;"Silic, Mario & Back, Andrea:
	Organizational Culture Impact on Acceptance and Use of Unified Communications & Collaboration Technology in Organizations.
	2013.
	- 26th Bled eConference ""eInnovations: challenges and impacts for individuals, organizations and society"".
	- Bled, Slovenia."
1647018432-4225;"Koehne, Marija; Raimann, Joerg; Seufert, Andreas; von Krogh, G. & Back, Andrea:
	The Influence of Human Networks and Human Value Systems on Knowledge Sharing/Transfer Projects.
	,
	1999,"
1647018432-4038;"Walter, Thomas & Back, Andrea:
	A Text Mining Approach to Evaluate Submissions to Crowdsourcing Contests.
	2013.
	- 46th Hawaii International Conference on System Sciences (HICSS).
	- Grand Wailea, Maui, Hawaii."
1647018432-4128;"Gurgul, Grzegorz; Enkel, Ellen; Schulte, Kordula & Kruse, Carl-Heinrich:
	Supporting integration after M&A throuth Knowledge Networks within RWE Net.
    	In  
    	Vonkrogh, Georg; Back, Andrea & Enkel, Ellen (ed.): 
    	Knowledge Networks for Business Growth. 
	Berlin :
	Springer,
	2007,
	S. 33-57."
1647018432-3968;"Back, Andrea & Seufert, Andreas
 	(2000)
	Computer Supported Cooperative Work (CSCW) - State-of-the-Art und zukünftige Herausforderungen.
	HMD - Praxis der Wirtschaftsinformatik,
	37
	(213).
	5-22.
	ISSN 1436-3011"
1647018432-3948;"Back, Andrea; Haentschel-erhart, Irene; Baumann, Philipp & Ziekursch, Tim
 	(2007)
	Blogs helfen beim Projekt-Management.
	Computerwoche,
	
	(20).
	24."
1647018432-4399;"Back, Andrea:
	Corporate E-Learning: Strategic Issues.
	Vortrag am Graduiertenkolleg New Media in Education.
	Lugano,
	1 June 2001."
1647018432-4085;"Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.) 
    	: 
	Web 2.0 in der Unternehmenspraxis: Grundlagen, Fallstudien und Trends zum Einsatz von Social Software.
	
	München :
	Oldenbourg,
	2008,
	
	- ISBN 3-486-58579-7."
1647018432-3936;"Back, Andrea & Walter, Thomas
 	(2010)
	University Apps.
	Switchjournal,
	
	(Oktober).
	43-44.
	ISSN 1422-5662"
1647018432-4027;"Ruf, Christian & Back, Andrea:
	Design Requirements for Collaboration Processes to Increase Customer Trust in Mobile Banking Platforms.
	2014.
	- The 27th Bled eConference ""eEcosystems"".
	- Bled, Slovenia."
1647018432-4175;"Heidecke, Florian; Mayrhofer, David; Back, Andrea & Schiesser, Andreas:
	Current State Analysis and Identification of Opportunities in Roche's Sales Force Training.
	,
	2005,"
1647018432-4331;"Back, Andrea:
	eCollaboration Goes Web 2.0 - Von den Basistechnologien zu den Trends effektiver verteilter Zusammenarbeit.
	TelekomForum - KompetenzTag Collaboration.
	Köln,
	1 February 2007."
1647018432-4251;"Back, Andrea:
	Habilitation: ""Beiträge der Daten-, Informations- und Wissensverarbeitung zur Weiterentwicklung des Internen Rechnungswesens und Controllings"".
	UniSG,
	Thesis,
	1993."
1647018432-4407;"Back, Andrea:
	Knowledge Networks und Knowledge Management Technologien.
	Gastvortrag an der Universität Bamberg.
	Bamberg,
	27 June 2000."
1647018432-4341;"Back, Andrea:
	How work is changing in the Information Age.
	SMU City Campus, Lee Kong Chian School of Business.
	Singapore,
	28 February 2006."
1647018432-4422;"Back, Andrea:
	Learning Communities im Inter-/Intranet.
	Eröffnungsfeier HAAS & PARTNER, Glattzentrum.
	Zürich,
	12 November 1998."
1647018432-4057;"Sammer, Thomas; Lin, Dada; Back, Andrea & Schoenefeld, Frank:
	Erfolgsmessung zum Einsatz von Social Software im Softwareentwicklungsprozess am Beispiel der T-Systems Multimedia Solutions GmbH.
	2011.
	- 6. Konferenz Professionelles Wissensmanagement.
	- Innsbruck."
1647018432-3988;"Back, Andrea & Wagner, J.
 	(1996)
	Internet und World Wide Web : Zugangs- und Anwendungsmöglichkeiten für den Steuerberater.
	DSWR,
	Vol. 25
	(4).
	78-80."
1647018432-4007;"Guggisberg, Vanessa & Back, Andrea:
	Exploring Innovation Practices for B2E Initiatives in the Digital Age.
	2018.
	- Multikonferenz Wirtschaftsinformatik 2018.
	- Lüneburg."
1647018432-4403;"Back, Andrea:
	E-Learning als Wachstumsmarkt: Zahlen, Fakten und Beispiele.
	Pressekonferenz ""Preisrutsch ebnet E-Learning den Weg"".
	Düsseldorf,
	2 November 2000."
1647018432-4164;"Zollet, Roman & Back, Andrea:
	Critical Factors Influencing Innovation Diffusion on Corporate Websites.
	St.Gallen :
	Institute of Information Management,
	2014."
1647018432-4092;"Back, Andrea; Bendel, Oliver & Stoller-Schai, Daniel
    	 
    	: 
	E-Learning im Unternehmen: Grundlagen - Strategien - Methoden - Technologien.
	
	Zürich :
	Orell Füssli,
	2001,
	
	- ISBN 3-280-02749-7."
1647018432-3930;"Back, Andrea & Koch, Michael
 	(2011)
	Broadening Participation in Knowledge Management in Enterprise 2.0.
	Information Technology : it,
	53
	(3).
	135-141.
	ISSN 0944-2774"
1647018432-4010;"Silic, Mario; Cyr, Dianne; Back, Andrea & Holzer, Adrian:
	Effects of Color Appeal, Perceived Risk and Culture on User’s Decision in Presence of Warning Banner Message.
	2017.
	- 50th Hawaii International Conference on Sciences (HICSS).
	- Waikoloa, Hawaii."
1647018432-4396;"Back, Andrea:
	Wissensmanagement in KMU.
	Blockwoche Informationsmanagement Intensivstudium KMU.
	St. Gallen,
	14 September 2001."
1647018432-4421;"Back, Andrea:
	Workshop Virtual Academia: Developments in new technology platforms.
	the 10th annual meeting CEMS (Community of European Management Schools).
	Wien,
	27 November 1998."
1647018432-4320;"Back, Andrea:
	Lernkurve von 1.x nach 2.x - Erkenntnisse nach 100 Tagen Wissensblog.
	Web 2.0 im Unternehmen: Praxislösungen konkret und anschaulich.
	Zürich,
	10 April 2008."
1647018432-4332;"Back, Andrea:
	Unterwegs auf der Formel 1-Rennstrecke der e-Learning-Innovationen.
	Zukunft E-Learning - E-Learning-Strategie und didaktische Implikationen.
	Innsbruck,
	4 December 2006."
1647018432-3894;"Grüttner, Arne; Wambsganss, Thiemo & Back, Andrea
 	(2020)
	From Data to Dollar – Using the Wisdom of an Online Tipster Community to Improve Sports Betting Returns.
	
	European Journal of International Management (EJIM) - Special Issue on: ""International Sports Management"""
1647018432-4155;"Back, Andrea:
	Management Informationssysteme.
    	In  
    	 
    	Controlling Lexikon. 
	München et al. :
	Oldenbourg,
	1996,"
1647018432-4198;"Bendel, Oliver; Bursian, Olaf; Oberlin, Karin; Keller, Miriam; Leithner, Barbara & Back, Andrea:
	Qualitative und ökonomische Potenziale der Einführung eines LMS in der Credit Suisse.
	Reihe Arbeitsberichte des Learning Center der Universität St. Gallen,
	2001,
	2/2001."
1647018432-3904;"Silic, Mario & Back, Andrea
 	(2017)
	Open Source Software Adoption: Lessons from Linux in Munich.
	IT Professional,
	19
	(1).
	42-47.
	ISSN 1520-9202"
1647018432-4148;"Müller, Jochen:
	Massenspeicher, magnetischer.
    	In  
    	Mertens, Peter & Back, Andrea (ed.): 
    	Lexikon der Wirtschaftsinformatik. 
	Berlin :
	Springer,
	2001,"
1647018432-4079;"Back, Andrea:
	Zum Verhältnis von eLearning und Wissensmanagement im Unternehmen.
	2002.
	- 32. Jahrestagung der Gesellschaft für Informatik e.v. (GI).
	- Dortmund."
1647018432-4135;"Back, Andrea:
	Die wissenschaftliche Sicht: Der rechte Umgang mit Stakeholdern.
    	In  
    	Wilbers, Karl (ed.): 
    	Stolpersteine beim Corporate E-Learning: Stakeholdermanagement, Management von E-Learning-Wissen, Evaluation. 
	München :
	Oldenbourg,
	2005,
	S. 19-30."
1647018432-4425;"Back, Andrea:
	Wirtschaftlichkeitsanalysen im IV-Bereich.
	Blockwoche Informationsmanagement Intensivstudium KMU.
	St. Gallen,
	2 June 1998."
1647018432-4248;"Back, Andrea:
	Lean & agil: Social-Software.
    In: Computerworld.ch
        
    (2014),
    Sonderausgabe ti&m special,
    S. 22-23."
1647018432-4195;"Gurgul, Grzegorz; Enkel, Ellen & Schulte, K.:
	Virtuelle Kooperation - Erhaltung des Antriebs. (Virtual cooperation - Supporting the drive). Knowledge Integration after Mergers & Acquisitions in RWE.
	KnowledgeSource paper series,
	2002,
	BE HSG/IWI 3 No 35."
1647018432-4065;"Walter, Thomas & Back, Andrea:
	Web-Analyse-Dienste als Instrument des Blog-Monitoring.
	2010.
	- Multikonferenz Wirtschaftsinformatik (MKWI) 2010.
	- Göttingen."
1647018432-4158;"Guggisberg, Vanessa & Back, Andrea:
	Agile Innovation for Next Generation Mobile Business.
	,
	2017,"
1647018432-4395;"Back, Andrea:
	IT und Wissensmanagement: Freude oder Feinde?
	Kunden-Event Fritz&Maziol.
	St. Gallen,
	19 September 2001."
1647018432-3976;"Back, Andrea
 	(1998)
	Editoral.
	Informatik/Informatique,
	Vol. 5
	(6).
	2."
1647018432-4193;"Enkel, Ellen & Wicki, Yvonne:
	How Knowledge Networks in practice look like: Findings from an international survey.
	KnowledgeSource paper series,
	2002,
	BE HSG/IWI 3, No 27."
1647018432-4169;"Hain, Stefanie & Back, Andrea:
	State-of-the-Art on Maturity Models for Collaboration.
	Arbeitsberichte Business 2.0,
	2009,
	01/2009."
1647018432-4238;"Sammer, Thomas; Back, Andrea & Brechbühl, Hans:
	Employing Consumer IT in Operations: Will iPads Save Money, Increase Efficiency, and Raise User Satisfaction?
	
	The Case Centre (UK),
	2014."
1647018432-4129;"Gurgul, Grzegorz; Enkel, Ellen; Rumyantseva, Maria & Ulrich, Claudia:
	The customer - an untapped source of innovations. Developing a Customer Integration Network in HP.
    	In  
    	Vonkrogh, Georg; Back, Andrea & Enkel, Ellen (ed.): 
    	Knowledge Networks for Business Growth. 
	Berlin :
	Springer,
	2007,
	S. 59-76."
1647018432-3934;"Wildi, Dennis; Back, Andrea & Gfeller, Reto
 	(2011)
	Wachstumsbarrieren bei der Nutzung von betrieblichen Lernplattformen.
	HMD : Praxis der Wirtschaftsinformatik,
	48
	(1).
	18-27.
	ISSN 1436-3011"
1647018432-4361;"Back, Andrea:
	Erfolgreiche E-Learning-Anwendungsfelder - jetzt und in der Zukunft.
	LERNET-Konferenz.
	Berlin,
	2 December 2003."
1647018432-4401;"Back, Andrea:
	Knowledge Management und E-Learning.
	Seminar ""St. Galler Wissensmanagement"".
	St. Gallen,
	14 November 2000."
1647018432-4008;"Berghaus, Sabine & Back, Andrea:
	Disentangling the Fuzzy Front End of Digital Transformation: Activities and Approaches.
	2017.
	- International Conference on Information Systems (ICIS) 2017.
	- Seoul."
1647018432-4258;"Back, Andrea:
	Tablet Books: Your Courses' Material in Harry Potter Newspaper Style.
	eduhub days 2012 - Learning Café Lungo.
	Murten,
	3 April 2012."
1647018432-4203;"van Wegen, B.; Makarevitch, Alexei; Kayser, T. & Enkel, Ellen:
	Fostering New Ventures: Organisational conditions for New Ventures in Unilever.
	KnowledgeSource internal paper series,
	2001,
	BE HSG/IWI3 IfB No 32."
1647018432-4290;"Back, Andrea:
	Welche Kompetenzen in der digitalen Welt 2020 gebraucht werden.
	9. Zukunftskongress des 2b AHEAD ThinkTanks.
	Braunschweig,
	16 June 2010."
1647018432-4408;"Back, Andrea:
	High-Tech Teaching in a Semi-Virtual CEMS Course: Experiences with Collaborative Learning in Action.
	Forum sur l'enseignement de la gestion et les nouvelle technologies de la communication et de l'information.
	Louvain (Belgien),
	18 May 2000."
1647018432-4303;"Back, Andrea:
	Business 2.0 - Die Triebfedern des partizipativen Web für Business-Innovation.
	20 Jahre IWI - IWI Update.
	St. Gallen,
	18 September 2009."
1647018432-4413;"Back, Andrea:
	Knowledge Networking: Von der Vision zum Business Case.
	Symposium ""Wenn Ihre Firma wüsste, was Ihre Firma weiss: Knowledge Management / Business Intelligence"".
	Pfäffikon,
	1 January 2000."
1647018432-3915;"Zollet, Roman & Back, Andrea
 	(2015)
	Critical Factors Influencing Diffusion of Interactivity Innovations on Corporate Websites.
	IEEE Transactions on Professional Communication,
	58
	(1).
	2-19.
	ISSN 0361-1434"
1647018432-4246;"Egeli, Martin & Back, Andrea:
	Mobile Enterprise - bereit für den mobilen Wandel?
    In: IT business
    15    
    (2015),
    1,
    S. 24-25."
1647018432-4282;"Back, Andrea:
	Arbeitsplatz der Zukunft, Innovationsvortrag.
	Bereichstag Regionalvertrieb der Datev e.G..
	Nürnberg,
	28 October 2010."
1647018432-4329;"Back, Andrea:
	Wissensnetzwerke in Unternehmen - mit Technik und Pragmatismus zum Erfolg.
	Learntec 07.
	Karlsruhe,
	15 February 2007."
1647018432-4239;"Sammer, Thomas; Back, Andrea & Bessing, Stefan:
	Mobile Business 2013 : Der Einfluss von Second Generation Enterprise Mobility auf die Value Chain von Unternehmen.
	
	T-Systems Multimedia Solutions GmbH,
	2013."
1647018432-4202;"Leithner, Barbara; Keller, Miriam; Bursian, Olaf; Bendel, Oliver & Back, Andrea:
	Betreibermodell und Anreizsystem für Multimedia-gestützte Studiengänge im Weiterbildungsmarkt.
	,
	2001,
	BE HSG / IWI3 Nr. 20 (Internal Paper)."
1647018432-4389;"Back, Andrea:
	RING-Workshop zum Thema ""Wissensmanagement"" bei Radio DRS.
	
	Basel,
	18 December 2001."
1647018432-3990;"Back, Andrea & Schuka, Oliver
 	(1996)
	Vom Firmenhauptsitz ins Telecottage.
	Output Focus,
	Vol. 1
	
	46-48."
1647018432-4205;"Enkel, Ellen; Gibbert, Michael; Makarevitch, Alexei & Vassiliadis, Stefanos:
	Perspective for our partners: Innovation, Knowledge creation, Customer Integration and Launching new Ventures.
	KnowledgeSource paper series,
	2001,
	Vol. 01. BE HSG/IWI 3 IfB No 29."
1647018432-4337;"Back, Andrea:
	Weblogs und Wikis in der Hochschullehre: ein Erfahrungsbericht.
	Gastvortrag an der Pädagogischen Hochschule.
	Weingarten,
	13 July 2006."
1647018432-4267;"Back, Andrea:
	Towards a Framework for Business Model Design of Scientific Journals with Web 2.0 Principles.
	MCIS.
	Limassol, Cyprus,
	4 September 2011."
1647018432-4077;"Back, Andrea:
	Chief-Learning-Officer-Projektagenda 200x.
	2002.
	- 32. Jahrestagung der Gesellschaft für Informatik e.V. (GI).
	- Dortmund."
1647018432-4349;"Back, Andrea:
	Beiträge des BSC-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.
	E-Learning Workshop ""Einsatzkonzepte und Geschäftsmodell"".
	Hannover,
	27 September 2004."
1647018432-4143;"Enkel, Ellen & Back, Andrea:
	Wissensnetzwerke: Das neue Instrument für die Förderung von Wissensaustausch und Wissensentwicklung im Unternehmen.
    	In  
    	Bleicher, Knut & Berthel, Jürgen (ed.): 
    	Auf dem Weg in die Wissensgesellschaft : veränderte Strukturen, Kulturen und Strategien. 
	Frankfurt a.M. :
	Frankfurter Allg. Buch,
	2002,
	S. 149-169."
1647018432-4072;"Back, Andrea:
	Learning-Management-Systeme im Corporate E-Learning: Lösung oder Auslöser.
	2005.
	- Fachtagung Web-Based Training 2005.
	- Zürich-Wallisellen."
1647018432-3961;"Back, Andrea
 	(2003)
	Workplace Learning: mit E-Learning im Arbeitsprozess lernen.
	SKO-Leader,
	
	(6).
	8-9."
1647018432-4023;"Berghaus, Sabine & Back, Andrea:
	Requirements Elicitation and Utilization Scenarios for In-Car Use of Wearable Devices.
	2015.
	- 48th Hawaiin International Conference on System Sciences (HICSS).
	- Kauai, Hawaii."
1647018432-4025;"Berghaus, Sabine & Back, Andrea:
	Adoption of Mobile Business Solutions and its Impact on Organizational Stakeholders.
	2014.
	- The 27th Bled eConference ""eEcosystems"".
	- Bled, Slovenia."
1647018432-4142;"Back, Andrea & Bendel, Oliver:
	Lern- und Wissensportale in Corporate Universities.
    	In  
    	Glotz, Peter & Seufert, Sabine (ed.): 
    	Corporate University : Wie Unternehmen ihre Mitarbeiter mit e-learning erfolgreich weiterbilden. 
	Frauenfeld :
	Huber,
	2002,
	S. 53-63."
1647018432-3902;"Silic, Mario; Barlow, Jordan B. & Back, Andrea
 	(2017)
	A new perspective on neutralization and deterrence: Predicting shadow IT usage.
	Information & management,
	54
	(8).
	1023-1037.
	ISSN 0378-7206"
1647018432-4178;"Keller, Miriam & Back, Andrea:
	Blended-Learning-Projekte im Unternehmen.
	Arbeitsberichte des Learning Center der Universität St. Gallen,
	2004,
	3/2004."
1647018432-4308;"Back, Andrea:
	Enterprise Work 2.0: So arbeiten Profis im Netz ... und ich? Persönliche Standortbestimmung.
	Last Monday - Donna Informatica.
	Zürich,
	29 June 2009."
1647018432-4070;"Mayrhofer, David; Heilmeier, Peter; Nirankari, Ravi & Back, Andrea:
	Knowledge Management in Challenging Settings - A Case of Military Aircraft.
	2005.
	- 5th International Conference on Knowledge Management and Knowledge Technologies (I-KNOW).
	- Graz."
1647018432-4375;"Back, Andrea:
	Chief-Learning-Officer-Projektagenda 200x.
	GI-Jahrestagung, Oktober 2002.
	Dortmund,
	1 October 2002."
1647018432-4229;"Seufert, Andreas; Back, Andrea & von Krogh, G.:
	A Vision for Knowledge Networking.
	,
	1999,"
1647018432-4253;"Back, Andrea:
	Teamarbeit 2.0: Global - zeitgemäss - kompetent.
	DATEV-Kongress 2012.
	Berlin,
	7 September 2012."
1647018432-4091;"Back, Andrea; Bendel, Oliver & Stoller-Schai, Daniel
    	 
    	: 
	E-Learning: Ein Wörterbuch.
	
	Kappelrodeck :
	Achertäler Verlag,
	2002,
	
	- ISBN 3-930360-11-X."
1647018432-4355;"Back, Andrea:
	Die praktische Umsetzung von Blended-Learning-Angeboten in der betrieblichen Aus- und Weiterbildung.
	Forum ""Blended Learning"" der Frey Akademie.
	Winterthur,
	3 April 2004."
1647018432-4350;"Back, Andrea:
	Paving the Way to Corporate e-Learning Adoption and Sustainability.
	I-KNOW '04.
	Graz,
	1 July 2004."
1647018432-3986;"Back, Andrea & Seufert, Andreas
 	(1997)
	Kanzleiinformationssystem: Mehrdimensionales Kanzleicontrolling.
	Datenverarbeitung-Steuer-Wirtschaft-Recht,
	Vol. 27
	(3).
	73-77."
1647018432-4024;"Ruf, Christian; Back, Andrea; Bergmann, Richard & Schlegel, Michael:
	Elicitation of Requirements for the Design of Mobile Financial Advisory Services - Instantiation and Validation of the Requirement Data Model with a Multi-method Approach.
	2015.
	- 48th Hawaiin International Conference on System Sciences (HICSS).
	- Kauai, Hawaii."
1647018432-4305;"Talwar, Manish & Back, Andrea:
	Differences in ERP Implementations in India & Western Europe.
	AMCIS.
	San Francisco,
	9 August 2009."
1647018432-3985;"Back, Andrea
 	(1997)
	Der Kollaborateur aus der Kiste: Groupware, Interview.
	Handleszeitung,
	Vol. 136
	(47).
	21."
1647018432-4207;"Vassiliadis, Stefanos; Raimann, Joerg; Seufert, Andreas; Back, Andrea & von Krogh, G.:
	Training for Knowledge Networks: Documentation.
	,
	2000,"
1647018432-3906;"Silic, Mario & Back, Andrea
 	(2016)
	The dark side of social networking sites : Understanding phishing risks.
	Computers in Human Behavior,
	60
	
	35-43.
	ISSN 0747-5632"
1647018432-3896;"Josef, Barbara & Back, Andrea
 	(2019)
	Coworking aus Unternehmenssicht – Out of Office, into the Flow?
	Arbeiten 4.0,
	56
	(4).
	780-794.
	ISSN 1436-3011"
1647018432-4090;"Österle, Hubert; Back, Andrea; Winter, Robert & Brenner, Walter (ed.) 
    	: 
	Business Engineering - Die ersten 15 Jahre.
	
	Berlin :
	Springer,
	2004,
	DOI:10.1007/978-3-642-18542-7.
	- ISBN 978-3-642-62151-2."
1647018432-4131;"Köhne, M.; Enkel, Ellen & Ulrich, C.:
	Developmental aspects and supportive factors in Knowledge Networks.
    	In  
    	Back, Andrea; Vonkrogh, Georg; Seufert, Andreas & Enkel, Ellen (ed.): 
    	Getting real about Knowledge Networks: unlocking corporate knowledge assets. 
	Basingstoke :
	Palgrave Macmillan,
	2006,
	S. 148-169."
1647018432-4284;"Back, Andrea & Koch, Michael:
	Enterprise 2.0-Fallstudien - Aus Erfahrung lernen.
	12. KnowTech 2010.
	Bad Homburg,
	16 September 2010."
1647018432-4184;"Bendel, Oliver & Back, Andrea:
	Informationsversorgung des Staates in der Informationsgesellschaft.
	Arbeitsberichte des Learning Center der Universität St. Gallen,
	2003,
	3/2003."
1647018432-4393;"Back, Andrea:
	E-Learning strategisch! Balanced Scorecard: Strategieinstrument für E-Learning.
	4. Fachtag Online Lernen.
	Karlsruhe,
	20 September 2001."
1647018432-4217;"Bendel, Oliver; Stoller-Schai, Daniel; Mergel, Ines & Back, Andrea:
	Dialogplattform Knowledge Management der Deutschen Bank AG (Internal Paper).
	,
	2000,
	BE HSG / IWI3 Nr. 12."
1647018432-4000;"Back, Andrea
 	(1994)
	Vorarbeiten für die Datenmodellierung am Beispiel zweier Industrieunternehmen : Automatisierte Dateninventur und elektronischer Begriffskatalog.
	Wirtschaftsinformatik 36,
	Vol. 5
	
	409-421."
1647018432-4051;"Sammer, Thomas; Camichel, Fabio Armon & Back, Andrea:
	Integrating the Smartphone : Applying the U-Constructs Approach on the Case of Mobile University Services.
	2011.
	- 6th Mediterranean Conference on Information Systems (MCIS 2011).
	- Limassol, Cyprus."
1647018432-4040;"Friedel, Dominik & Back, Andrea:
	Das St. Galler Enterprise 2.0 Methodenset - Ein Ansatz zum organisatorischen Wandel.
	2012.
	- 14. KnowTech 2012.
	- Stuttgart."
1647018432-4018;"Silic, Mario; Back, Andrea & Silic, Dario:
	Atos - Towards Zero Email Company.
	2015.
	- 23rd European Conference on Information Systems (ECIS) 2015.
	- Münster."
1647018432-4367;"Back, Andrea:
	Insights from taking a business engineering perspective on corporate eLearning.
	Guide Executive Club.
	Rome,
	1 October 2003."
1647018432-4139;"Mayrhofer, David & Back, Andrea:
	Workplace e-Collaboration in Practice: Practical Guidelines for Implementing e-Collaboration in Organizations.
    	In  
    	Fong, Michelle W.L. (ed.): 
    	E-Collaborations and Virtual Organizations. 
	Hershey, PA :
	IRM Press,
	2004,
	S. 29-60."
1647018432-3914;"Link, Björn & Back, Andrea
 	(2015)
	Classifying systemic differences between Software as a Service- and On-Premise-Enterprise Resource Planning.
	Journal of Enterprise Information Management,
	28
	(6).
	808-837.
	ISSN 1741-0398"
1647018432-4274;"Back, Andrea:
	Enterprise 2.0 für das Management.
	EMBE-Modul 9.
	St. Gallen,
	23 May 2011."
1647018432-4096;"Silic, Mario; Back, Andrea & Sammer, Thomas:
	Employee acceptance and use of unified communications and collaboration in a cross-cultural environment.
    	In  
    	 
    	Remote work and collaboration : breakthroughs in research and practice. 
	Hershey PA :
	IGI Global,
	2017,
	S. 1-22."
1647018432-4318;"Back, Andrea:
	Produktivität von Wissensarbeit 2.0: Traumhaft oder traumatisch.
	LEARNTEC.
	Karlsruhe,
	3 February 2009."
1647018432-4250;"Sammer, Thomas & Back, Andrea:
	Aktuelle Trends in Enterprise Mobility.
    In: IT business
    2012    
    (2012),
    3,
    S. 14-15."
1647018432-3970;"Back, Andrea
 	(2000)
	Michael Cusumano :Interview.
	Wirtschaftsinformatik,
	42
	(1).
	71-73.
	ISSN 0937-6429"
1647018432-4209;"Raimann, Joerg; Koehne, Marija; Seufert, Andreas; Back, Andrea & von Krogh, G.:
	Performance Measurement of Communities of Practice.
	,
	2000,"
1647018432-3931;"Back, Andrea
 	(2011)
	Stille Revolution im Workplace Learning.
	HR Today Special ""Personal Swiss 2011"",
	
	(1).
	41-42."
1647018432-4379;"Back, Andrea:
	Wissensmanagement IKT-Systeme und -Tools.
	Seminar ""St. Galler Wissensmanagement"" 2002.
	Ermatingen,
	1 October 2002."
1647018432-3944;"Wagner, Christian & Back, Andrea
 	(2008)
	Group Wisdom Support Systems: Aggregating the Insights of many trough Information Technology.
	Issues in Information Systems (IIS),
	9
	(2).
	343-350."
1647018432-3908;"Berghaus, Sabine & Back, Andrea
 	(2016)
	Gestaltungsbereiche der Digitalen Transformation von Unternehmen: Entwicklung eines Reifegradmodells.
	Die Unternehmung,
	70
	(2).
	98-123.
	ISSN 0042-059X"
