Gde-Nr.;PLZ;Gemeinde
2861;4450;Sissach
587;3800;Matten bei Interlaken
2292;1719;Brünisried
6433;2318;Brot-Plamboz
2309;3175;Wünnewil-Flamatt
2121;1669;Haut-Intyamon
2027;1533;Ménières
2206;1723;Marly
1374;6416;Steinerberg
3211;9305;Berg (SG)
2553;4515;Oberdorf (SO)
2548;4535;Hubersdorf
2131;1646;Echarlens
5471;1042;Bettens
5637;1175;Lavigny
5582;1033;Cheseaux-sur-Lausanne
5628;1134;Chigny
5638;1027;Lonay
5491;1148;Mont-la-Ville
5713;1299;Crans (VD)
5639;1132;Lully (VD)
5522;1044;Fey
5490;1148;Moiry
5515;1053;Bretigny-sur-Morrens
5315;6682;Linescio
3782;7505;Celerina/Schlarigna
3792;7516;Bregaglia
102;8187;Weiach
4806;8264;Eschenz
95;8158;Regensberg
180;8484;Weisslingen
40;8465;Trüllikon
214;8471;Dägerlen
135;8802;Kilchberg (ZH)
195;8122;Maur
2939;8200;Schaffhausen
6267;1993;Veysonnaz
1132;6133;Hergiswil bei Willisau
3215;9400;Rorschach
2931;8233;Bargen (SH)
2961;8263;Buch (SH)
3746;7527;Zernez
3764;7556;Valsot
979;3360;Herzogenbuchsee
1703;6331;Hünenberg
5757;1350;Orbe
4303;5314;Böttstein
3201;9308;Häggenschwil
5210;6900;Paradiso
5192;6900;Lugano
5193;6983;Magliaso
5194;6928;Manno
5189;6814;Lamone
4173;5062;Oberhof
2843;4446;Buckten
2882;4431;Bennwil
2619;4245;Kleinlützel
4009;5037;Muhen
2271;3280;Meyriez
4864;8266;Steckborn
4421;9326;Horn
3025;9043;Trogen
5873;1343;Le Lieu
1088;6024;Hildisrieden
1008;6170;Schüpfheim
495;3236;Gampelen
944;3661;Uetendorf
735;3272;Epsach
632;3114;Wichtrach
877;3087;Niedermuhlern
739;2563;Ipsach
491;3237;Brüttelen
736;2575;Hagneck
6800;2900;Porrentruy
869;3126;Kaufdorf
902;3550;Langnau im Emmental
792;3775;Lenk
3861;7235;Fideris
1212;6491;Realp
1145;6153;Ufhusen
5196;6900;Massagno
6741;2877;Le Bémont (JU)
4145;5723;Teufenthal (AG)
6139;1908;Riddes
6134;1914;Isérables
4401;9320;Arbon
3442;9030;Gaiserwald
3401;9113;Degersheim
1205;6463;Bürglen (UR)
4167;5075;Hornussen
4776;9554;Tobel-Tägerschen
971;4536;Attiswil
951;3416;Affoltern im Emmental
415;3421;Lyssach
4313;5316;Leuggern
2068;1553;Châtonnaye
6504;2117;La Côte-aux-Fées
2173;1742;Autigny
1361;8849;Alpthal
594;3812;Wilderswil
731;2558;Aegerten
5636;1163;Etoy
333;4917;Melchnau
2525;4566;Kriegstetten
3111;9413;Oberegg
5746;1372;Bavois
5484;1124;Gollion
5913;1407;Donneloye
5819;1525;Henniez
5749;1373;Chavornay
5421;1143;Apples
5882;1801;Chardonne
5785;1082;Corcelles-le-Jorat
5798;1088;Ropraz
5884;1808;Corsier-sur-Vevey
5607;1070;Puidoux
5496;1303;Penthaz
5624;1030;Bussigny
6111;3954;Leukerbad
3340;8640;Rapperswil-Jona
139;8803;Rüschlikon
71;8196;Wil (ZH)
37;8475;Ossingen
55;8193;Eglisau
245;8102;Oberengstringen
5715;1266;Duillier
6253;3971;Crans-Montana
6194;3943;Eischoll
3441;9204;Andwil (SG)
6192;3919;Blatten
953;4952;Eriswil
4461;8580;Amriswil
6602;1247;Anières
6604;1285;Avusy
6609;1236;Cartigny
6613;1225;Chêne-Bourg
6618;1232;Confignon
3295;8877;Quarten
2974;8217;Wilchingen
4024;5413;Birmenstorf (AG)
746;2553;Safnern
301;3270;Aarberg
4022;5454;Bellikon
4696;8274;Tägerwilen
94;8112;Otelfingen
2402;4624;Härkingen
4229;5624;Bünzen
5237;6939;Alto Malcantone
4165;5073;Gipf-Oberfrick
2869;4455;Zunzgen
2842;4461;Böckten
2847;4445;Häfelfingen
2891;4435;Niederdorf
3847;7532;Val Müstair
3670;7427;Urmein
2613;4226;Breitenbach
446;2720;Tramelan
3202;9313;Muolen
351;3000;Bern
1026;6274;Eschenbach (LU)
1067;6044;Udligenswil
1142;6265;Roggliswil
1100;6231;Schlierbach
6718;2812;Movelier
665;3208;Gurbrü
703;2732;Reconvilier
885;3628;Uttigen
947;3645;Zwieselberg
536;3053;Diemerswil
6773;2935;Beurnevésin
783;6083;Hasliberg
784;3862;Innertkirchen
740;2514;Ligerz
562;3703;Aeschi bei Spiez
582;3807;Iseltwald
564;3716;Kandergrund
358;3066;Stettlen
945;3614;Unterlangenegg
6722;2873;Saulcy
769;3752;Wimmis
6035;1933;Sembrancher
3881;7241;Conters im Prättigau
3982;7180;Disentis/Mustér
3582;7151;Schluein
3871;7249;Klosters
6742;2336;Les Bois
4841;8505;Pfyn
4590;8553;Hüttlingen
576;3816;Grindelwald
3544;7482;Bergün Filisur
3238;9443;Widnau
4724;8360;Eschlikon
200;8306;Wangen-Brüttisellen
1209;6476;Gurtnellen
1203;6468;Attinghausen
4042;5300;Turgi
4172;4333;Münchwilen (AG)
5409;1867;Ollon
410;3429;Höchstetten
324;3368;Bleienbach
4282;4852;Rothrist
403;3323;Bäriswil
2016;1532;Fétigny
6512;2103;Val-de-Travers
2186;1741;Cottens (FR)
2196;1700;Fribourg
2238;1732;Bois-d'Amont
2054;1486;Estavayer
2305;3185;Schmitten (FR)
2045;1565;Vallon
2325;1618;Châtel-Saint-Denis
2272;1721;Misery-Courtion
2301;1718;Rechthalten
4184;5273;Mettauertal
3835;6534;San Vittore
6421;2300;La Chaux-de-Fonds
3104;9054;Schlatt-Haslen
5425;1145;Bière
2407;4702;Oensingen
1151;6126;Willisau
5706;1277;Borex
5486;1148;L'Isle
5890;1800;Vevey
5413;1852;Roche (VD)
5482;1312;Eclépens
5530;1416;Pailly
5645;1122;Romanel-sur-Morges
5632;1026;Denges
5064;6743;Bodio
5125;6613;Ronco sopra Ascona
5131;6598;Tenero-Contra
5323;6692;Lavizzara
923;3615;Buchholterberg
1702;6330;Cham
1706;6315;Oberägeri
3352;9642;Ebnat-Kappel
939;3612;Steffisburg
87;8115;Hüttikon
136;8135;Langnau am Albis
88;8173;Neerach
199;8604;Volketswil
12;8911;Rifferswil
6261;1974;Arbaz
6254;3973;Noble-Contrée
733;2555;Brügg
546;3053;Münchenbuchsee
6619;1246;Corsier (GE)
6631;1213;Onex
2953;8225;Siblingen
906;6197;Schangnau
603;3507;Biglen
6436;2400;Le Locle
4851;8268;Salenstein
4001;5000;Aarau
5186;6916;Grancia
3823;6562;Soazza
2884;4457;Diegten
2828;4415;Lausen
785;3857;Meiringen
4701;8564;Wäldi
3105;9057;Schwende
3637;7405;Rothenbrunnen
2773;4153;Reinach (BL)
4666;8565;Kemmental
3732;7017;Flims
3734;7014;Trin
5266;6854;Stabio
4471;9220;Bischofszell
3296;7320;Sargans
957;3454;Sumiswald
5744;1338;Ballaigues
1509;6370;Stans
1150;6144;Zell (LU)
1037;6026;Rain
1129;6145;Fischbach
1054;6030;Ebikon
1002;6160;Entlebuch
6724;2805;Soyhières
691;2746;Crémines
6713;2813;Ederswiler
6810;2946;La Baroche
2789;4224;Nenzlingen
588;3853;Niederried bei Interlaken
782;3864;Guttannen
747;2556;Scheuren
6730;2824;Val Terbi
386;3293;Dotzigen
622;3629;Oppligen
610;3671;Herbligen
2790;2814;Roggenburg
3619;7126;Ilanz/Glion
3781;7502;Bever
1066;6013;Schwarzenberg
4318;5425;Schneisingen
4431;9306;Roggwil (TG)
4501;9217;Kradolf-Schönenberg
4074;8966;Oberwil-Lieli
5585;1008;Jouxtens-Mézery
4921;9503;Bussnang
4112;5235;Rüfenach
3276;9476;Wartau
1214;6462;Seedorf (UR)
4233;5625;Kallern
4240;5622;Waltenschwil
4193;5505;Brunegg
4197;5705;Hallwil
4125;5107;Schinznach
4260;4332;Stein (AG)
2235;1782;La Sonnaz
2299;1716;Plaffeien
2328;1614;Granges (Veveyse)
6413;2019;Rochefort
2079;1686;Grangettes
2236;1695;Gibloux
2050;1483;Les Montets
2029;1774;Montagny (FR)
2086;1692;Massonnens
2140;1633;Marsens
5464;1584;Vully-les-Lacs
1364;6440;Ingenbohl
1069;6353;Weggis
1370;6418;Rothenthurm
584;3822;Lauterbrunnen
62;8059;Kloten
3003;9105;Schönengrund
3603;7132;Vals
5883;1802;Corseaux
5481;1304;Dizy
5540;1041;Montilliez
5609;1071;Rivaz
5799;1077;Servion
5415;1853;Yvorne
5720;1271;Givrins
5937;1431;Vugelles-La Mothe
5933;1441;Valeyres-sous-Montagny
5408;1845;Noville
5742;1352;Agiez
6052;3997;Bellwald
5108;6596;Gordola
295;8816;Horgen
1711;6300;Zug
4316;5323;Rietheim
53;8180;Bülach
119;8607;Seegräben
225;8545;Rickenbach (ZH)
6289;3908;Saas-Balen
4046;5512;Wohlenschwil
1345;8864;Reichenburg
3921;7050;Arosa
6621;1200;Genève
6644;1290;Versoix
6640;1226;Thônex
6643;1214;Vernier
6607;1233;Bernex
6191;3938;Ausserberg
2904;8213;Neunkirch
4643;8598;Bottighofen
496;3232;Ins
5160;6867;Brusino Arsizio
5212;6946;Ponte Capriasca
5213;6988;Ponte Tresa
2857;4462;Rickenbach (BL)
4601;8525;Neunforn
3662;7426;Flerden
3663;7425;Masein
3633;7413;Fürstenau
3731;7012;Felsberg
2783;4117;Burg im Leimental
3911;7062;Churwalden
3237;9422;Thal
2702;4126;Bettingen
6133;1926;Fully
1341;8852;Altendorf
3021;9055;Bühler
3023;9037;Speicher
3316;8872;Weesen
3374;9620;Lichtensteig
3360;9643;Nesslau
3034;9038;Rehetobel
2428;4719;Mümliswil-Ramiswil
3038;9427;Wolfhalden
1146;6242;Wauwil
1040;6023;Rothenburg
711;2736;Sorvilier
442;2538;Romont (BE)
755;3252;Worben
761;3763;Därstetten
607;3510;Freimettigen
867;3663;Gurzelen
938;3654;Sigriswil
450;2603;Péry-La Heutte
612;3503;Konolfingen
589;3854;Oberried am Brienzersee
668;3203;Mühleberg
666;3179;Kriechenwil
662;3206;Ferenbalm
868;3629;Jaberg
6775;2944;Bonfol
498;3225;Müntschemier
357;3096;Oberbalm
337;4914;Roggwil (BE)
3255;9445;Rebstein
3863;7231;Jenaz
3882;7240;Küblis
1202;6490;Andermatt
4234;5634;Merenschwand
3788;7525;S-chanf
6034;1943;Orsières
2495;5013;Niedergösgen
2500;4632;Trimbach
6213;1902;Evionnaz
6218;1923;Salvan
6135;1912;Leytron
5589;1008;Prilly
4411;9315;Egnach
4097;5077;Elfingen
4606;9507;Stettfurt
1348;8857;Vorderthal
4106;5237;Mönthal
4076;5614;Sarmenstorf
985;3367;Ochlenberg
907;3534;Signau
414;3325;Krauchthal
4791;9514;Wuppenau
581;3800;Interlaken
3312;8717;Benken (SG)
5822;1530;Payerne
6511;2126;Les Verrières
2333;1617;Remaufens
5451;1580;Avenches
2137;1648;Hauteville
2265;3210;Kerzers
2234;1745;La Brillaz
2053;1563;Belmont-Broye
2087;1684;Mézières (FR)
2250;1796;Courgevaux
4037;5452;Oberrohrdorf
3254;9451;Oberriet (SG)
198;8606;Uster
2425;4718;Holderbank (SO)
4801;8267;Berlingen
3275;9475;Sevelen
2528;4564;Obergerlafingen
2541;4525;Balm bei Günsberg
5571;1423;Tévenon
5557;1421;Fontaines-sur-Grandson
5885;1805;Jongny
5518;1040;Echallens
5629;1127;Clarmont
6152;1868;Collombey-Muraz
5911;1404;Cuarny
5560;1421;Grandevent
5909;1400;Cheseaux-Noréaz
954;4950;Huttwil
6205;3991;Bettmeralp
6203;3983;Mörel-Filet
392;2542;Pieterlen
5115;6618;Losone
5397;6655;Centovalli
5317;6677;Maggia
371;2500;Biel/Bienne
1709;6314;Unterägeri
4831;8555;Müllheim
393;3295;Rüti bei Büren
619;3672;Oberdiessbach
137;8942;Oberrieden
181;8492;Wila
244;8954;Geroldswil
31;8444;Henggart
196;8617;Mönchaltorf
243;8953;Dietikon
63;8426;Lufingen
6238;3979;Grône
5268;6833;Vacallo
6202;3918;Wiler (Lötschen)
6620;1283;Dardagny
6603;1237;Avully
6624;1251;Gy
6608;1200;Carouge (GE)
6612;1224;Chêne-Bougeries
6198;3942;Niedergesteln
6297;3930;Visp
2932;8222;Beringen
2933;8454;Buchberg
1363;6434;Illgau
2858;4467;Rothenfluh
2892;4436;Oberdorf (BL)
2881;4424;Arboldswil
2832;4433;Ramlinsburg
3669;7428;Tschappina
3721;7402;Bonaduz
2772;4148;Pfeffingen
2472;4413;Büren (SO)
1403;6074;Giswil
1402;6388;Engelberg
2445;4585;Biezwil
3372;9633;Hemberg
3379;9622;Wattwil
4040;8957;Spreitenbach
332;4934;Madiswil
5872;1341;Le Chenit
4486;9213;Hauptwil-Gottshaus
193;8117;Fällanden
1502;6374;Buochs
1131;6146;Grossdietwil
1136;6122;Menznau
1123;6246;Altishofen
1084;6205;Eich
363;3072;Ostermundigen
6774;2926;Boncourt
6789;2916;Fahy
880;3088;Rüeggisberg
717;2733;Valbirse
941;3634;Thierachern
909;3555;Trubschachen
605;3533;Bowil
3985;7172;Sumvitg
3219;9033;Untereggen
434;2608;Courtelary
6753;2338;Muriaux
2422;4710;Balsthal
2408;4628;Wolfwil
321;4912;Aarwangen
4039;5453;Remetschwil
3810;6541;Santa Maria in Calanca
841;3784;Gsteig
2427;4713;Matzendorf
